time_s,x_m,y_m,z_down_m
0.227,0.0,0.0,0.012
0.23,0.0,0.0,0.012
0.331,-0.0789,-0.229,0.011
0.435,-0.079,-0.2288,0.012
0.544,-0.0792,-0.229,0.012
0.628,-0.0787,-0.2281,0.01
0.728,-0.0787,-0.2281,0.012
0.829,-0.0792,-0.229,0.01
0.93,-0.0792,-0.2288,0.013
1.03,-0.079,-0.229,0.011
1.13,-0.0792,-0.2285,0.012
1.273,-0.0793,-0.229,0.01
1.34,-0.0796,-0.229,0.013
1.428,-0.0793,-0.229,0.011
1.565,-0.0788,-0.229,0.011
1.629,-0.0789,-0.2285,0.011
1.729,-0.0796,-0.229,0.012
1.84,-0.0782,-0.2278,0.012
1.928,-0.0792,-0.2272,0.009
2.028,-0.079,-0.2281,0.011
2.143,-0.0792,-0.2281,0.012
2.228,-0.0793,-0.2278,0.013
2.339,-0.0795,-0.2287,0.016
2.433,-0.0793,-0.2289,0.011
2.528,-0.0784,-0.2274,0.012
2.661,-0.0793,-0.2278,0.012
2.728,-0.0791,-0.2283,0.011
2.828,-0.0,0.0,0.013
2.95,0.0002,-0.0001,0.013
3.027,0.0,-0.0002,0.011
3.128,0.0003,-0.0002,0.012
3.238,0.0003,-0.0003,0.014
3.33,0.0003,0.0018,0.015
3.428,0.0006,0.0015,0.014
3.528,0.0004,0.0007,0.012
3.628,0.0011,0.0009,0.013
3.728,-0.0001,0.0007,0.011
3.853,0.0007,0.0004,0.01
3.928,0.0004,0.0014,0.011
4.027,-0.0001,0.0006,0.011
4.165,0.0002,0.0007,0.011
4.228,0.0012,0.0006,0.012
4.328,0.0004,0.0006,0.012
4.449,0.0004,0.0006,0.012
4.527,0.0007,0.0004,0.012
4.627,0.0004,-0.0003,0.012
4.738,0.0011,0.0008,0.011
4.828,0.0002,-0.0005,0.011
4.961,0.0003,0.0013,0.011
5.029,-0.0001,0.0013,0.013
5.127,0.0001,0.0005,0.011
5.256,0.0,0.0007,0.01
5.327,0.0,0.0008,0.01
5.427,0.0005,0.0016,0.011
5.543,0.0007,0.001,0.011
5.627,-0.0002,0.0006,0.011
5.727,0.0002,0.0006,0.013
5.832,0.0002,0.0008,0.009
5.928,0.0002,0.0014,0.012
6.027,0.0002,0.0014,0.012
6.127,0.0004,0.0015,0.012
6.227,-0.0003,0.0004,0.012
6.327,0.0001,-0.0,0.012
6.463,-0.0006,0.0006,0.013
6.526,0.0001,0.0008,0.012
6.627,-0.0002,0.0006,0.01
6.754,0.0,0.0015,0.013
6.827,-0.0002,0.0016,0.011
6.927,-0.0002,0.0015,0.012
7.031,0.0,0.0015,0.011
7.126,-0.0006,-0.0002,0.01
7.227,-0.0,0.0006,0.011
7.331,-0.0,0.0004,0.01
7.427,-0.0001,0.0015,0.013
7.561,-0.0001,0.0015,0.011
7.646,-0.0003,-0.0,0.013
7.726,-0.0002,0.0004,0.011
7.851,-0.0007,0.0009,0.012
7.931,0.0005,0.0006,0.011
8.027,-0.0002,0.0006,0.01
8.141,-0.0002,0.0006,0.014
8.227,-0.0002,-0.0001,0.011
8.327,-0.0005,-0.0003,0.012
8.43,-0.0,-0.0003,0.012
8.526,-0.0003,0.0014,0.01
8.627,-0.0003,0.0006,0.013
8.784,-0.0003,-0.0003,0.012
8.842,-0.0006,-0.0003,0.012
8.927,-0.0004,0.0007,0.013
9.064,-0.0002,0.0007,0.011
9.126,-0.0005,-0.0003,0.012
9.227,-0.0007,0.0005,0.012
9.348,-0.0007,0.0002,0.01
9.427,-0.0007,-0.0003,0.012
9.525,-0.0002,0.0002,0.014
9.638,-0.0007,0.0007,0.01
9.725,0.0002,0.0007,0.011
9.836,0.0004,-0.0003,0.011
9.928,-0.0008,0.0007,0.011
10.026,-0.0006,-0.0003,0.011
10.179,-0.0003,0.0019,0.012
10.232,-0.0006,-0.0003,0.012
10.326,-0.0008,0.0007,0.013
10.426,-0.0009,-0.0003,0.012
10.531,-0.0009,-0.0002,0.012
10.625,-0.0009,-0.0002,0.011
10.726,-0.0009,-0.0002,0.012
10.833,-0.0009,0.0,0.011
10.926,-0.0009,-0.0002,0.012
11.025,-0.0009,0.0017,0.011
11.13,-0.0002,0.0009,0.012
11.225,-0.0007,-0.0002,0.013
11.325,-0.0003,0.0012,0.01
11.439,-0.0013,-0.0001,0.012
11.525,-0.0008,-0.0001,0.013
11.626,-0.0001,0.0001,0.013
11.747,-0.001,-0.0001,0.013
11.825,-0.0008,-0.0001,0.011
11.925,-0.0006,0.0005,0.015
12.061,-0.0011,0.0004,0.012
12.124,-0.0011,-0.0001,0.011
12.226,-0.0009,0.0008,0.011
12.372,-0.0012,-0.0001,0.012
12.425,-0.0012,-0.0001,0.013
12.525,-0.0014,-0.0001,0.013
12.681,-0.0003,0.0009,0.012
12.736,-0.0014,-0.0001,0.011
12.825,-0.0012,-0.0001,0.011
12.925,-0.0011,-0.0001,0.015
13.05,-0.0012,0.0014,0.012
13.125,-0.0012,0.001,0.015
13.225,-0.0012,0.0007,0.011
13.325,-0.0013,-0.0001,0.011
13.424,-0.0017,-0.0001,0.01
13.524,-0.0018,-0.0001,0.011
13.624,-0.0012,-0.0001,0.012
13.725,-0.0015,-0.0001,0.009
13.824,-0.0013,0.0009,0.011
13.934,-0.0013,-0.0,0.01
14.024,-0.0015,-0.0,0.012
14.125,-0.0015,-0.0,0.011
14.244,-0.0016,0.0007,0.014
14.324,-0.0016,-0.0,0.009
14.423,-0.0011,-0.0,0.013
14.561,-0.0013,0.0,0.011
14.624,-0.0014,0.0005,0.01
14.724,-0.0011,0.0,0.012
14.867,-0.0014,0.0,0.012
14.924,-0.0006,0.0011,0.011
15.025,-0.0014,0.0008,0.012
15.146,-0.0015,0.0011,0.011
15.237,-0.0015,0.0011,0.012
15.324,-0.0015,0.0005,0.013
15.424,-0.0008,0.0006,0.013
15.527,-0.001,0.0001,0.011
15.625,-0.0018,0.0001,0.013
15.724,-0.0015,0.0004,0.012
15.843,-0.0015,0.0001,0.012
15.923,-0.002,0.0001,0.012
16.024,-0.0021,0.0001,0.012
