time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.25,,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.398,,0.366,,,
0.255,,-0.148,-0.0716,0.009,-0.2,-0.33,0.51,0.0,-0.0048,-0.0048,-0.0056,0.683,0.389,,,,,
0.26,,-0.1483,-0.0714,0.008,-0.2,-0.34,0.52,0.0,-0.0012,-0.0043,-0.0014,0.683,0.389,,,,,
0.265,,-0.1476,-0.0723,0.011,-0.2,-0.3,0.49,0.0,-0.0025,-0.0085,-0.0008,0.679,0.397,,0.406,,,
0.336,,-0.1481,-0.0714,0.007,-0.2,-0.34,0.52,0.0,-0.007,-0.0084,0.0059,0.679,0.397,,0.406,,,
0.34,,-0.1474,-0.0717,0.009,-0.2,-0.34,0.49,0.0,-0.0049,-0.0048,0.0006,0.684,0.39,,,,,
0.386,,-0.1484,-0.0716,0.011,-0.2,-0.34,0.53,0.0,-0.006,-0.0048,0.0012,0.684,0.39,,,,,
0.434,,-0.1473,-0.0728,0.01,-0.2,-0.29,0.48,0.0,-0.0045,-0.005,0.0059,0.688,0.389,,,,,
0.485,,-0.1481,-0.0725,0.006,-0.2,-0.31,0.51,0.0,-0.0032,-0.0081,0.0054,0.688,0.389,,,,,
0.534,,-0.1476,-0.0717,0.011,-0.2,-0.34,0.49,0.0,-0.005,-0.0047,-0.0042,0.684,0.394,,,,,
0.597,,-0.1484,-0.0718,0.009,-0.2,-0.34,0.52,0.0,-0.0073,-0.0042,0.001,0.684,0.394,,,,,
0.643,,-0.1479,-0.0722,0.009,-0.2,-0.33,0.49,0.0,-0.0078,-0.0038,-0.0003,0.684,0.39,,,,,
0.69,,-0.1481,-0.0724,0.009,-0.2,-0.32,0.49,0.0,-0.0052,-0.0072,-0.0006,0.684,0.39,,,,,
0.752,,-0.1484,-0.0717,0.01,-0.21,-0.35,0.5,0.0,-0.005,-0.0038,-0.0011,0.686,0.396,,,,,
0.786,,-0.1484,-0.0717,0.01,-0.21,-0.35,0.5,0.0,-0.005,-0.0038,0.0008,0.686,0.396,,,,,
0.851,,-0.1482,-0.0717,0.008,-0.21,-0.35,0.49,0.0,-0.0073,-0.0041,0.0013,0.682,0.392,,,,,
0.896,,-0.1489,-0.0718,0.008,-0.21,-0.35,0.52,0.0,-0.0076,-0.0054,-0.0031,0.682,0.392,,,,,
0.942,,-0.1487,-0.0719,0.007,-0.21,-0.35,0.51,0.0,-0.0082,-0.006,-0.0052,0.681,0.387,,,,,
0.987,,-0.1485,-0.073,0.009,-0.21,-0.3,0.5,0.0,-0.0064,-0.0056,-0.0083,0.681,0.387,,,,,
1.049,,-0.148,-0.072,0.009,-0.21,-0.35,0.49,0.0,-0.0037,-0.0059,-0.0049,0.685,0.395,,,,,
1.086,,-0.1486,-0.072,0.01,-0.21,-0.35,0.51,0.0,-0.0006,-0.0053,-0.0025,0.685,0.395,,,,,
1.153,,-0.1493,-0.0717,0.01,-0.21,-0.36,0.53,0.0,-0.0047,-0.006,0.0008,0.688,0.389,,,,,
1.183,,-0.1479,-0.0728,0.009,-0.21,-0.32,0.48,0.0,-0.0054,-0.008,0.0027,0.688,0.389,,,,,
1.233,,-0.1486,-0.072,0.009,-0.21,-0.36,0.5,0.0,-0.0067,-0.0034,0.0013,0.68,0.393,,,,,
1.32,,-0.1488,-0.0721,0.01,-0.21,-0.35,0.51,0.0,-0.0093,-0.0038,-0.0003,0.68,0.393,,,,,
1.334,,-0.1486,-0.0721,0.007,-0.21,-0.35,0.49,0.0,-0.0066,-0.0081,0.0003,0.684,0.388,,,,,
1.405,,-0.149,-0.072,0.01,-0.21,-0.35,0.51,0.0,-0.0079,-0.0042,-0.0063,0.684,0.388,,,,,
1.44,,-0.1493,-0.072,0.01,-0.21,-0.36,0.51,0.0,-0.0071,-0.0074,-0.0025,0.682,0.395,,,,,
1.485,,-0.1492,-0.072,0.01,-0.2,-0.36,0.5,0.0,-0.0078,-0.0033,-0.0001,0.682,0.395,,,,,
1.535,,-0.1488,-0.072,0.011,-0.21,-0.35,0.48,0.0,-0.0053,-0.0034,0.0011,0.686,0.388,,,,,
1.62,,-0.1491,-0.0721,0.009,-0.21,-0.35,0.5,0.0,-0.0052,-0.0033,0.0035,0.686,0.388,,,,,
1.646,,-0.1486,-0.0721,0.01,-0.21,-0.34,0.47,0.0,-0.0014,-0.0086,0.0004,0.682,0.397,,,,,
1.703,,-0.1479,-0.0729,0.009,-0.21,-0.31,0.45,0.0,-0.0044,-0.0037,-0.0,0.682,0.397,,,,,
1.737,,-0.1491,-0.0721,0.009,-0.21,-0.34,0.5,0.0,-0.0042,-0.0037,-0.0022,0.683,0.397,,,,,
1.785,,-0.1494,-0.0729,0.009,-0.2,-0.31,0.52,0.0,-0.0042,-0.0036,-0.0036,0.683,0.397,,,,,
1.834,,-0.1488,-0.0722,0.01,-0.21,-0.34,0.49,0.0,-0.0049,-0.0051,-0.0043,0.684,0.389,,,,,
1.912,,-0.1491,-0.0728,0.007,-0.21,-0.32,0.5,0.0,-0.0058,-0.0045,-0.0027,0.684,0.389,,,,,
1.942,,-0.1494,-0.0731,0.01,-0.21,-0.31,0.51,0.0,-0.0019,-0.0043,-0.0077,0.684,0.396,,,,,
1.997,,-0.1494,-0.0722,0.009,-0.21,-0.34,0.51,0.0,-0.0054,-0.004,-0.0034,0.684,0.396,,,,,
2.038,,-0.1496,-0.0722,0.01,-0.21,-0.34,0.51,0.0,-0.0057,-0.0038,-0.0031,0.682,0.389,,,,,
2.084,,-0.1492,-0.0727,0.01,-0.21,-0.32,0.49,0.0,-0.0046,-0.0039,-0.0007,0.682,0.389,,,,,
2.134,,-0.1482,-0.0725,0.008,-0.21,-0.33,0.45,0.0,-0.0063,-0.0038,0.0001,0.683,0.394,,,,,
2.201,,-0.1485,-0.073,0.011,-0.21,-0.31,0.47,0.0,-0.0119,-0.0047,-0.0035,0.683,0.394,,,,,
2.25,,-0.1495,-0.0723,0.01,-0.21,-0.34,0.5,0.0,-0.0074,-0.0053,0.0012,0.685,0.393,,,,,
2.302,,-0.1491,-0.0731,0.008,-0.21,-0.32,0.48,0.0,-0.0049,-0.0047,0.0017,0.685,0.393,,,,,
2.34,,-0.1495,-0.0723,0.01,-0.21,-0.35,0.51,0.0,-0.0075,-0.0046,-0.0032,0.684,0.395,,,,,
2.384,,-0.1498,-0.0723,0.008,-0.21,-0.35,0.51,0.0,-0.0072,-0.0045,-0.002,0.684,0.395,,,,,
2.434,,-0.1492,-0.0724,0.009,-0.21,-0.35,0.48,0.0,-0.0048,-0.0046,-0.0048,0.686,0.388,,,,,
2.504,,-0.1495,-0.0722,0.009,-0.21,-0.36,0.49,0.0,-0.0061,-0.0035,-0.0046,0.686,0.388,,,,,
2.539,,-0.1499,-0.0725,0.008,-0.21,-0.35,0.5,0.0,-0.0061,-0.0041,-0.0034,0.683,0.397,,,,,
2.596,,-0.1488,-0.0727,0.012,-0.21,-0.34,0.45,0.0,-0.0031,-0.0037,-0.005,0.683,0.397,,,,,
