time_s,x_m,y_m,z_down_m
0.235,0.0,0.0,0.012
0.237,-0.0004,0.1323,0.012
0.24,0.0002,0.1321,0.011
0.242,0.0,0.1334,0.011
0.295,-0.0005,0.1323,0.013
0.326,0.0,0.1331,0.013
0.38,-0.0002,0.1322,0.01
0.427,-0.0005,0.1323,0.01
0.475,-0.0002,0.1318,0.012
0.525,-0.0,0.1327,0.012
0.581,-0.0,0.1318,0.01
0.639,-0.0002,0.132,0.01
0.676,-0.0006,0.1329,0.011
0.727,-0.0002,0.132,0.011
0.776,-0.0004,0.1329,0.01
0.826,0.0001,0.1319,0.01
0.876,-0.0004,0.1321,0.011
0.97,0.0002,0.1318,0.011
0.98,0.0001,0.1318,0.012
1.033,-0.0004,0.1318,0.012
1.076,0.0001,0.1326,0.011
1.126,-0.0004,0.1324,0.011
1.177,-0.0002,0.1339,0.01
1.268,-0.0004,0.1319,0.01
1.279,-0.0002,0.1321,0.011
1.341,0.0001,0.1339,0.011
1.377,-0.0004,0.1321,0.011
1.428,-0.0002,0.1319,0.011
1.475,-0.0002,0.1319,0.011
1.565,-0.0002,0.1317,0.011
1.576,-0.0002,0.1317,0.01
1.637,0.0,0.1336,0.01
1.675,-0.0,0.1332,0.011
1.725,-0.0002,0.132,0.011
1.777,-0.0,0.1326,0.011
1.865,0.0,0.1319,0.011
1.923,-0.0007,0.1319,0.011
1.933,-0.0002,0.1329,0.011
1.976,-0.0005,0.1316,0.012
2.025,-0.0002,0.1338,0.012
2.076,-0.0007,0.1329,0.012
2.151,-0.0002,0.1319,0.012
2.201,0.0005,0.1326,0.014
2.226,-0.0002,0.1321,0.014
2.277,-0.0007,0.1326,0.009
2.326,-0.0002,0.133,0.009
2.375,0.0002,0.1336,0.009
2.44,-0.0,0.1336,0.009
2.488,-0.0006,0.1336,0.011
2.526,-0.0005,0.1325,0.011
2.576,-0.0005,0.1319,0.011
2.626,-0.0005,0.1321,0.011
2.675,-0.0003,0.1341,0.012
2.729,-0.0003,0.1319,0.012
2.778,-0.0003,0.1337,0.011
2.826,-0.0003,0.1328,0.011
2.875,-0.0006,0.1324,0.011
2.926,0.0001,-0.0001,0.011
3.015,0.0003,-0.0002,0.011
3.056,0.0008,-0.0004,0.011
3.075,0.0007,-0.0008,0.013
3.125,0.0009,-0.0003,0.013
3.176,0.0006,-0.0006,0.014
3.226,0.0008,-0.0005,0.014
3.303,0.0009,-0.0006,0.012
3.35,0.001,0.0008,0.012
3.377,0.0002,0.0002,0.01
3.426,0.0007,0.0016,0.01
3.475,-0.0004,0.0001,0.01
3.525,0.0004,0.0007,0.01
3.59,0.0017,-0.0004,0.01
3.63,0.0003,0.0013,0.01
3.675,0.0,-0.0004,0.012
3.725,0.0008,0.0013,0.012
3.776,0.0007,-0.0006,0.012
3.825,0.0005,0.0006,0.012
3.879,0.0004,-0.0004,0.012
3.927,0.0006,-0.0009,0.012
