time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.241,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.628,,0.165,
0.243,-0.0021,0.0001,0.006,0.34,-1.21,-0.23,0.0,0.0,0.0,0.0,,1.627,,0.165,
0.245,-0.0023,0.0004,0.007,0.35,-1.21,-0.22,0.0,0.0,0.0,0.0,,1.627,,0.167,
0.247,-0.0017,0.0004,0.007,0.35,-1.2,-0.25,0.0,0.0,0.0,0.0,,1.628,,0.167,
0.279,-0.0022,0.0001,0.007,0.35,-1.2,-0.23,0.0,0.0,0.0,0.0,,1.628,,0.164,
0.34,-0.0012,0.0001,0.007,0.35,-1.2,-0.26,0.0,-0.0022,-0.0014,0.0025,,1.62,,0.164,
0.381,-0.002,0.0001,0.008,0.36,-1.2,-0.23,0.0,-0.0074,-0.0019,0.0021,,1.62,,0.161,
0.43,-0.0027,0.0006,0.008,0.36,-1.22,-0.2,0.0,-0.0057,-0.0003,0.0022,2.137,1.63,,0.161,
0.481,-0.0023,0.0006,0.005,0.36,-1.22,-0.22,0.0,-0.0058,-0.0021,-0.0006,2.137,1.63,,0.165,
0.53,-0.0018,-0.0006,0.005,0.36,-1.17,-0.24,0.0,-0.0046,-0.0007,-0.0061,2.084,1.611,,0.165,
0.593,-0.002,-0.0001,0.006,0.36,-1.19,-0.23,0.0,-0.0045,-0.0006,-0.0111,2.084,1.611,,0.162,
0.648,-0.001,0.0001,0.006,0.36,-1.19,-0.26,0.0,0.0001,-0.0031,-0.0086,,1.623,,0.162,
0.679,-0.002,0.0001,0.007,0.36,-1.2,-0.22,0.0,-0.0068,-0.0052,-0.0011,,1.623,,0.167,
0.729,-0.0022,0.0002,0.007,0.36,-1.2,-0.21,0.0,-0.0059,-0.0017,0.0007,,1.625,,0.167,
0.779,-0.0025,0.0006,0.009,0.37,-1.22,-0.19,0.0,-0.0071,-0.0021,0.0015,,1.625,,0.163,
0.83,-0.0011,0.0006,0.009,0.37,-1.22,-0.25,0.0,-0.0063,-0.001,0.0056,,1.626,,0.163,
0.879,-0.0018,0.0016,0.007,0.37,-1.26,-0.22,0.0,-0.008,-0.0004,0.0058,,1.626,,0.166,
0.959,-0.0012,-0.0003,0.007,0.37,-1.18,-0.24,0.0,-0.0031,0.0037,0.0037,,1.618,,0.166,
1.0,-0.0019,0.0004,0.007,0.37,-1.21,-0.21,0.0,-0.0084,-0.0024,0.002,,1.618,,0.166,
1.032,-0.0023,0.0004,0.007,0.37,-1.21,-0.2,0.0,-0.0072,-0.0013,0.0008,,1.629,,0.166,
1.08,-0.0026,-0.0003,0.006,0.37,-1.19,-0.19,0.0,-0.0068,-0.0033,-0.0001,,1.629,,0.165,
1.132,-0.0019,-0.0003,0.006,0.37,-1.19,-0.23,0.0,-0.0022,0.0004,-0.0025,,1.638,,0.165,
1.181,-0.0018,0.0016,0.008,0.37,-1.26,-0.24,0.0,-0.0062,-0.0025,0.005,,1.638,,0.168,
1.252,-0.0015,-0.0,0.008,0.37,-1.2,-0.25,0.0,-0.0021,-0.0023,0.0048,,1.623,,0.168,
1.321,-0.002,0.0005,0.006,0.37,-1.22,-0.23,0.0,-0.0052,-0.0056,0.0086,,1.623,,0.166,
1.335,-0.0026,-0.0002,0.006,0.37,-1.19,-0.2,0.0,-0.0062,-0.0028,0.0017,,1.621,,0.166,
1.378,-0.0022,0.0005,0.009,0.38,-1.22,-0.22,0.0,-0.0045,-0.0027,0.0013,,1.621,,0.167,
1.429,-0.0018,-0.0004,0.009,0.38,-1.18,-0.23,0.0,-0.0015,0.0024,0.0031,,1.625,,0.167,
1.48,-0.0021,0.0009,0.009,0.38,-1.23,-0.22,0.0,-0.007,-0.0036,0.0034,,1.625,,0.167,
1.549,-0.0027,0.0005,0.009,0.38,-1.21,-0.19,0.0,-0.0055,-0.0014,0.0033,,1.624,,0.167,
1.583,-0.0028,0.0012,0.007,0.38,-1.24,-0.19,0.0,-0.0077,-0.0004,0.0026,,1.624,,0.166,
1.633,-0.0024,0.0009,0.007,0.38,-1.23,-0.21,0.0,-0.0078,-0.0018,-0.002,,1.637,,0.166,
1.68,-0.0023,-0.0002,0.007,0.39,-1.18,-0.21,0.0,-0.0038,-0.0042,-0.0041,,1.637,,0.168,
1.729,-0.0017,0.0005,0.007,0.39,-1.21,-0.24,0.0,-0.0017,-0.0002,-0.0049,2.119,1.631,,0.168,
1.78,-0.0024,-0.0007,0.01,0.39,-1.16,-0.21,0.0,-0.0077,-0.0061,-0.0045,2.119,1.631,,0.166,
1.847,-0.0028,0.0003,0.01,0.39,-1.21,-0.2,0.0,-0.0036,-0.002,0.0024,,1.619,,0.166,
1.899,-0.0028,0.0001,0.008,0.39,-1.21,-0.19,0.0,-0.0076,-0.003,0.0002,,1.619,,0.167,
1.93,-0.0025,0.0002,0.008,0.39,-1.22,-0.21,0.0,-0.0086,0.0005,0.0004,,1.623,,0.167,
1.979,-0.0023,0.001,0.008,0.39,-1.24,-0.21,0.0,-0.0041,-0.002,0.0033,,1.623,,0.163,
2.029,-0.0016,0.0002,0.008,0.39,-1.21,-0.24,0.0,-0.0008,0.0032,0.0025,,1.62,,0.163,
2.079,-0.0026,0.0007,0.007,0.39,-1.23,-0.19,0.0,-0.0073,-0.005,-0.0075,,1.62,,0.17,
2.138,-0.003,0.0003,0.007,0.39,-1.21,-0.17,0.0,-0.0088,-0.0021,-0.006,,1.633,,0.17,
2.184,-0.0026,0.001,0.009,0.39,-1.24,-0.2,0.0,-0.008,0.0007,-0.0047,,1.633,,0.166,
2.229,-0.0023,0.001,0.009,0.39,-1.24,-0.21,0.0,-0.0054,-0.0009,0.0009,,1.631,,0.166,
2.28,-0.0026,0.0,0.009,0.4,-1.2,-0.2,0.0,-0.0078,-0.0066,0.0021,,1.631,,0.165,
2.33,-0.0017,-0.0002,0.009,0.4,-1.19,-0.24,0.0,-0.001,-0.0038,0.0052,,1.632,,0.165,
2.38,-0.0,0.0,0.008,0.0,-0.0,0.0,0.0,-0.0039,0.0002,-0.0,,1.632,,0.166,
2.435,-0.0004,-0.0002,0.008,0.01,-0.01,0.06,0.0,-0.0077,-0.0078,0.0003,,1.622,,0.166,
2.49,-0.0007,-0.0003,0.008,0.01,-0.24,0.07,0.0,-0.0097,-0.0141,0.0022,,1.622,,0.164,
2.528,-0.0008,-0.0015,0.008,0.01,-0.15,-0.02,0.0,-0.0088,-0.0174,0.0023,,1.63,,0.164,
2.579,-0.0011,-0.0012,0.006,0.02,-0.49,-0.06,0.0,-0.0096,-0.0146,0.0014,,1.63,,0.163,
2.629,-0.0001,-0.0017,0.006,0.02,-0.57,-0.33,0.0,0.0,-0.0105,-0.0039,,1.628,,0.163,
2.717,-0.0011,-0.001,0.008,0.02,-0.83,-0.17,0.0,-0.0072,-0.0154,0.0012,,1.628,,0.167,
2.756,-0.0014,-0.0005,0.008,0.02,-0.97,-0.17,0.0,-0.0046,-0.0072,0.0014,,1.62,,0.167,
2.781,-0.0013,-0.0001,0.007,0.02,-1.05,-0.2,0.0,-0.0018,-0.0043,0.0009,,1.62,,0.168,
2.829,-0.0008,-0.001,0.007,0.03,-0.99,-0.27,0.0,0.0022,-0.0079,-0.0012,,1.621,,0.168,
2.879,-0.0005,-0.0007,0.006,0.03,-1.05,-0.28,0.0,-0.0061,-0.0026,-0.0021,,1.621,,0.166,
2.928,0.0003,-0.0004,0.006,0.03,-1.1,-0.34,0.0,-0.0045,-0.0082,-0.0046,,1.619,,0.166,
3.012,-0.0013,-0.0008,0.008,0.03,-1.09,-0.23,0.0,-0.0058,-0.0058,0.0011,,1.619,,0.161,
3.057,-0.0008,-0.0007,0.008,0.04,-1.11,-0.26,0.0,-0.006,-0.0067,0.0023,,1.622,,0.161,
3.078,-0.0008,-0.0002,0.005,0.04,-1.16,-0.26,0.0,-0.0031,-0.0041,0.0054,,1.622,,,
3.13,-0.0,-0.0003,0.005,0.04,-1.16,-0.29,0.0,0.0022,-0.0065,-0.0018,,1.621,,,
3.179,-0.0003,-0.0005,0.008,0.04,-1.16,-0.26,0.0,-0.0044,-0.0047,0.0031,,1.621,,0.165,
3.229,-0.0009,0.0001,0.008,0.05,-1.19,-0.24,0.0,-0.0027,-0.0069,0.0033,,1.623,,0.165,
3.302,-0.0013,-0.0004,0.009,0.05,-1.17,-0.22,0.0,-0.0066,-0.0039,0.0006,,1.623,,0.166,
3.348,-0.0013,-0.0001,0.009,0.05,-1.19,-0.22,0.0,-0.005,-0.0043,0.003,,1.617,,0.166,
3.378,-0.0008,-0.0004,0.005,0.05,-1.18,-0.24,0.0,-0.004,0.0064,0.0002,,1.617,,0.165,
3.429,-0.0,-0.0009,0.005,0.05,-1.16,-0.27,0.0,-0.0002,0.0008,-0.0054,,1.623,,0.165,
3.478,-0.0,0.0014,0.006,0.06,-1.26,-0.26,0.0,-0.0064,0.0003,-0.0061,,1.623,,0.168,
3.529,-0.0008,-0.0001,0.006,0.06,-1.19,-0.23,0.0,-0.0039,-0.0047,-0.0059,,1.617,,0.168,
3.596,-0.0015,-0.0001,0.008,0.06,-1.2,-0.2,0.0,-0.0065,0.0016,0.0,,1.617,,0.165,
3.637,-0.0008,-0.0003,0.008,0.07,-1.19,-0.23,0.0,-0.0067,-0.0034,0.0032,,1.622,,0.165,
3.679,-0.0005,-0.0,0.008,0.07,-1.21,-0.24,0.0,-0.0047,-0.0025,0.0026,,1.622,,0.17,
3.73,0.0001,-0.0005,0.008,0.08,-1.19,-0.26,0.0,-0.0002,-0.0018,0.0048,,1.625,,0.17,
3.779,-0.0006,-0.0005,0.007,0.08,-1.2,-0.23,0.0,-0.01,-0.0027,0.003,,1.625,,0.169,
3.828,-0.0011,0.0002,0.007,0.08,-1.23,-0.21,0.0,-0.0035,-0.0041,0.002,,1.619,,0.169,
3.893,-0.0013,0.0007,0.007,0.08,-1.24,-0.2,0.0,-0.0056,-0.0019,0.0012,,1.619,,0.166,
3.931,-0.0001,-0.0007,0.007,0.09,-1.19,-0.24,0.0,-0.0035,-0.0005,0.0012,,1.626,,0.166,
3.979,-0.0006,0.0,0.006,0.09,-1.22,-0.22,0.0,-0.0039,-0.005,0.0025,,1.626,,0.166,
4.028,-0.0001,0.0,0.006,0.09,-1.22,-0.24,0.0,-0.0018,0.0061,-0.0011,,1.626,,0.166,
4.079,-0.0011,-0.0007,0.008,0.09,-1.19,-0.2,0.0,-0.0092,-0.0049,0.0017,,1.626,,0.167,
4.128,-0.0014,-0.0004,0.008,0.1,-1.2,-0.19,0.0,-0.0074,-0.0045,0.0027,,1.632,,0.167,
4.187,-0.0015,0.0011,0.007,0.1,-1.26,-0.19,0.0,-0.0079,-0.0014,-0.0009,,1.632,,0.163,
4.234,-0.0007,0.0,0.007,0.1,-1.22,-0.22,0.0,-0.0015,0.0006,-0.0014,,1.63,,0.163,
4.279,-0.0009,-0.0011,0.006,0.11,-1.17,-0.21,0.0,-0.0099,0.0012,-0.0029,,1.63,,0.167,
4.328,-0.0002,0.0,0.006,0.11,-1.22,-0.24,0.0,-0.0022,-0.0023,-0.0033,,1.615,,0.167,
4.379,-0.001,-0.0002,0.008,0.11,-1.21,-0.21,0.0,-0.0084,-0.0059,-0.0006,,1.615,,0.172,
4.429,-0.0008,-0.0002,0.008,0.11,-1.21,-0.22,0.0,-0.0044,-0.0003,0.0027,,1.619,,0.172,
4.481,-0.0012,0.0001,0.008,0.12,-1.23,-0.2,0.0,-0.0066,0.001,0.0028,,1.619,,0.17,
4.538,-0.0002,-0.0002,0.008,0.12,-1.22,-0.24,0.0,-0.0013,-0.0024,0.0049,,1.621,,0.17,
4.578,-0.0009,-0.0008,0.007,0.12,-1.2,-0.22,0.0,-0.0071,-0.0023,0.0053,,1.621,,0.161,
4.629,-0.0012,0.0003,0.007,0.12,-1.25,-0.2,0.0,-0.0064,-0.0002,0.0032,,1.627,,0.161,
4.678,-0.0015,-0.0002,0.007,0.13,-1.23,-0.2,0.0,-0.0086,-0.0014,0.004,,1.627,,0.163,
4.771,-0.0009,0.0014,0.007,0.13,-1.29,-0.23,0.0,-0.0093,-0.0003,0.0026,,1.618,,0.163,
4.817,-0.0009,0.0003,0.008,0.13,-1.24,-0.22,0.0,-0.0067,-0.0,0.0054,,1.618,,0.163,
4.837,-0.0001,0.0004,0.008,0.13,-1.24,-0.26,0.0,-0.001,0.0005,0.0048,,1.615,,0.163,
4.878,-0.0012,0.0004,0.008,0.14,-1.24,-0.21,0.0,-0.0088,-0.0012,0.004,,1.615,,0.167,
4.929,-0.0011,0.0004,0.008,0.14,-1.23,-0.23,0.0,-0.0064,-0.0025,0.0032,,1.626,,0.167,
4.978,-0.0013,-0.0001,0.006,0.14,-1.21,-0.22,0.0,-0.0057,0.0035,0.0003,,1.626,,0.169,
5.057,-0.0008,0.0006,0.006,0.14,-1.24,-0.24,0.0,-0.0045,0.0013,-0.0043,,1.628,,0.169,
5.107,-0.0013,-0.0001,0.007,0.15,-1.2,-0.22,0.0,-0.0037,-0.002,-0.0061,,1.628,,0.167,
5.131,-0.0004,0.0011,0.007,0.15,-1.25,-0.25,0.0,-0.0016,-0.0043,-0.0044,,1.626,,0.167,
