time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.088,0.0,0.0,0.014,0.0,0.0,0.0
0.141,0.2476,-0.2298,0.012,0.0019,0.0005,0.0092
0.188,0.2473,-0.2294,0.012,0.0019,0.0022,0.0062
0.237,0.2476,-0.2294,0.013,-0.0009,-0.0002,0.0045
0.288,0.247,-0.2298,0.013,0.0023,0.0017,0.0055
0.339,0.2473,-0.2295,0.012,-0.0004,0.0026,0.0051
0.392,0.2473,-0.2295,0.013,0.001,-0.0003,0.0022
0.438,0.2473,-0.2295,0.012,0.0007,-0.0006,0.0025
0.49,0.2473,-0.2301,0.012,0.0008,-0.0001,0.0001
0.541,0.2476,-0.2298,0.011,0.001,0.0028,-0.0007
0.592,0.2476,-0.2294,0.009,0.0028,0.0032,-0.003
0.637,0.247,-0.2294,0.013,-0.0005,0.0034,-0.0085
0.689,0.2474,-0.2293,0.009,0.0017,0.0036,-0.0011
0.739,0.2478,-0.2292,0.012,0.0017,0.003,-0.0054
0.785,0.2479,-0.2292,0.011,0.0036,0.0026,-0.0005
0.839,0.2474,-0.2296,0.012,0.001,-0.0008,0.0006
0.908,0.2474,-0.2301,0.012,0.0007,0.0008,0.0036
0.939,0.247,-0.2292,0.012,-0.0013,0.0024,0.0051
0.987,0.247,-0.2301,0.012,0.0027,0.0008,0.0054
1.042,0.2478,-0.2293,0.012,0.0009,0.0023,0.0051
1.088,0.2474,-0.2301,0.012,0.0023,0.0024,0.0045
1.141,0.247,-0.2292,0.014,0.0023,0.0022,0.0042
1.191,0.2479,-0.2292,0.012,0.0027,0.0029,0.0079
1.236,0.2474,-0.2292,0.013,0.0009,0.0026,0.0054
1.289,0.248,-0.2291,0.012,0.0023,0.0003,0.0054
1.336,0.2479,-0.2297,0.011,0.002,0.0009,0.003
1.389,0.247,-0.2293,0.012,0.0016,0.0013,-0.0012
1.44,0.2471,-0.2301,0.013,-0.0013,0.0016,-0.0014
1.488,0.2478,-0.2294,0.013,0.0019,0.003,0.0016
1.538,0.2471,-0.2294,0.012,0.0018,0.0008,0.003
1.589,0.2471,-0.2301,0.01,-0.0013,-0.001,0.0013
1.635,0.2478,-0.2294,0.014,0.0018,0.0004,-0.004
1.691,0.2471,-0.2301,0.013,-0.0014,0.0002,0.0027
1.735,0.2478,-0.2298,0.012,0.0004,-0.0008,0.004
1.788,0.2478,-0.2294,0.013,0.0008,-0.001,0.0024
1.836,0.2478,-0.2294,0.011,0.0006,0.0025,0.0042
1.886,0.2471,-0.2294,0.012,0.0018,0.0024,0.0001
1.94,0.2478,-0.2294,0.013,0.0024,0.0019,0.0002
1.987,0.2472,-0.2294,0.01,-0.0008,-0.0011,0.0021
2.038,0.2478,-0.2297,0.012,0.0016,0.0023,-0.0031
2.086,0.2475,-0.2294,0.013,-0.0014,0.0028,-0.0013
2.138,0.2472,-0.2294,0.011,0.0016,0.0028,0.0023
2.187,0.2478,-0.2294,0.013,0.0022,0.0032,-0.0006
