time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.176,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,0.418,,1.324,,,,,
0.178,,0.0008,0.0034,0.014,1.18,-0.64,0.19,0.0,0.0,0.0,0.0,0.677,0.418,,1.324,,,,,
0.18,,0.0018,0.0037,0.014,1.18,-0.64,0.15,0.0,0.0,0.0,0.0,0.68,0.419,,1.315,,,,,
0.234,,0.0017,0.0035,0.015,1.18,-0.63,0.15,0.0,0.0,0.0,0.0,0.68,0.419,,1.315,,,,,
0.268,,-0.0,0.0035,0.015,1.19,-0.64,0.23,0.0,-0.0048,-0.0018,-0.0011,0.679,0.423,,1.322,,,,,
0.316,,0.002,0.0035,0.014,1.19,-0.64,0.15,0.0,0.0059,-0.0011,-0.0003,0.679,0.423,,1.322,,,,,
0.367,,0.0006,0.0035,0.014,1.19,-0.64,0.21,0.0,-0.0018,-0.0013,-0.0018,0.677,0.419,,1.323,,,,,
0.417,,0.0013,0.0035,0.014,1.19,-0.64,0.19,0.0,0.0012,-0.0014,-0.0024,0.677,0.419,,1.323,,,,,
0.469,,0.0017,0.0037,0.014,1.19,-0.65,0.17,0.0,0.0032,-0.0007,-0.0025,0.678,0.418,,1.316,,,,,
0.519,,0.0006,0.0035,0.015,1.19,-0.64,0.22,0.0,-0.0028,-0.0018,-0.0017,0.678,0.418,,1.316,,,,,
0.58,,0.0002,0.0035,0.012,1.19,-0.64,0.23,0.0,-0.0046,-0.0015,0.0006,0.678,0.42,,1.312,,,,,
0.625,,0.0006,0.0035,0.017,1.19,-0.65,0.2,0.0,-0.0019,-0.0011,-0.0049,0.678,0.42,,1.312,,,,,
0.667,,-0.0,0.0035,0.013,1.19,-0.64,0.23,0.0,-0.0054,-0.0009,0.0031,0.679,0.419,,1.316,,,,,
0.719,,0.0019,0.0035,0.014,1.19,-0.64,0.15,0.0,0.0042,-0.0007,-0.0008,0.679,0.419,,1.316,,,,,
