time_s,x_m,y_m,z_down_m
0.226,0.0,0.0,0.013
0.228,-0.0006,-0.0003,0.013
0.231,-0.0001,-0.0005,0.012
0.233,-0.0003,0.0004,0.012
0.28,-0.0005,0.0006,0.012
0.326,0.0006,-0.0014,0.012
0.376,-0.0003,-0.0001,0.01
0.426,-0.0006,-0.0011,0.01
0.474,0.0002,-0.0007,0.011
0.543,-0.0007,0.0008,0.011
0.599,-0.0007,0.0005,0.009
0.625,0.0015,-0.002,0.009
0.675,-0.0004,0.0004,0.01
0.726,-0.0004,0.0004,0.01
0.776,-0.0007,0.0,0.012
0.826,-0.0007,-0.0003,0.012
0.901,0.0003,-0.0003,0.012
0.933,-0.0004,-0.0003,0.012
0.976,0.0007,-0.0014,0.009
1.026,-0.0004,-0.0003,0.009
1.075,-0.0004,0.0003,0.011
1.127,-0.0004,0.0001,0.011
1.192,-0.0004,-0.0005,0.011
1.238,-0.0004,-0.0008,0.011
1.275,-0.0007,0.0,0.011
1.325,-0.0007,0.0005,0.011
1.376,-0.0004,-0.0003,0.012
1.426,0.0017,-0.0021,0.012
1.482,-0.0003,-0.0006,0.01
1.528,-0.0006,-0.0006,0.01
1.576,-0.0006,-0.0014,0.009
1.626,-0.0006,-0.0004,0.009
1.676,-0.0006,-0.0002,0.01
1.756,-0.0004,-0.0002,0.01
1.777,-0.0004,-0.001,0.011
1.842,-0.0004,-0.0002,0.011
1.88,0.0016,-0.0022,0.013
1.926,-0.0007,0.0003,0.013
1.975,-0.0004,-0.0005,0.01
2.059,-0.0005,0.0004,0.01
2.111,-0.001,0.0004,0.01
2.128,-0.0004,0.0001,0.01
2.175,0.0014,-0.0015,0.008
2.226,-0.0004,0.0003,0.008
2.275,-0.0006,-0.0012,0.01
2.347,-0.0004,-0.0002,0.01
2.381,-0.0007,0.0,0.01
2.426,-0.0007,0.0,0.01
2.475,-0.0007,-0.001,0.011
2.524,-0.0007,-0.0002,0.011
2.575,-0.0004,-0.0014,0.012
2.636,-0.0004,-0.0007,0.012
2.68,0.0005,-0.0022,0.01
2.725,-0.0007,-0.0004,0.01
2.775,-0.0002,-0.0021,0.013
2.825,-0.0,0.0,0.013
