time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.258,,0.0,0.0,0.016,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.367,,,,,,,,,
0.262,,7.9805,-1.8083,0.016,,,,21.38,-1.38,0.45,0.0,0.0021,-0.0038,-0.0006,0.658,0.367,,,,,,,,,
0.266,,7.981,-1.808,0.016,,,,21.27,-1.39,0.42,0.0,0.0007,-0.0037,0.0008,0.658,0.367,,,,,,,,,
0.269,,7.9811,-1.8082,0.015,,,,21.16,-1.37,0.43,0.0,0.0029,-0.004,0.0018,0.663,0.367,,,,,,,,,
0.284,,7.9806,-1.8082,0.016,,,,21.05,-1.38,0.45,0.0,-0.0021,0.0001,-0.0007,0.663,0.366,,,,,,,,,
0.336,,7.981,-1.8081,0.015,,,,20.95,-1.37,0.44,0.0,0.0039,-0.003,0.0003,0.662,0.366,,,,,,,,,
0.384,,7.9808,-1.8082,0.016,,,,20.84,-1.37,0.45,0.0,0.0029,-0.0047,-0.0013,0.662,0.365,,,,,,,,,
0.435,,7.9804,-1.8077,0.016,,,,20.73,-1.4,0.46,0.0,-0.0017,-0.0027,-0.0005,0.659,0.365,,,,,,,,,
0.484,,7.9811,-1.8084,0.016,,,,20.63,-1.35,0.44,0.0,0.0008,-0.0058,0.0001,0.659,0.364,,,,,,,,,
0.535,,7.98,-1.8081,0.014,,,,20.52,-1.38,0.47,0.0,-0.0013,-0.0013,-0.0,0.663,0.364,,,,,,,,,
0.589,,7.9806,-1.8083,0.016,,,,20.41,-1.36,0.45,0.0,-0.0008,-0.0037,-0.0046,0.663,0.364,,,,,,,,,
0.653,,7.98,-1.8085,0.015,,,,20.31,-1.36,0.48,0.0,-0.0028,-0.0017,-0.0025,0.661,0.364,,,,,,,,,
0.691,,7.9811,-1.8084,0.015,,,,20.21,-1.35,0.42,0.0,0.0014,-0.0058,-0.0037,0.661,0.367,,,,,,,,,
0.774,,7.9806,-1.8084,0.016,,,,20.11,-1.36,0.45,0.0,0.0013,-0.0046,-0.0034,0.663,0.367,,,,,,,,,
0.784,,7.9806,-1.8084,0.016,,,,20.0,-1.35,0.45,0.0,0.0018,-0.0045,-0.0001,0.663,0.363,,,,,,,,,
0.834,,7.9804,-1.8084,0.014,,,,19.9,-1.35,0.46,0.0,0.0013,-0.0049,0.0014,0.659,0.363,,,,,,,,,
0.884,,7.981,-1.8083,0.017,,,,19.8,-1.35,0.44,0.0,0.0052,-0.0048,-0.0036,0.659,0.364,,,,,,,,,
0.934,,7.9809,-1.8086,0.019,,,,19.7,-1.34,0.46,0.0,0.001,-0.0063,0.0019,0.66,0.364,,,,,,,,,
0.984,,7.981,-1.8083,0.017,,,,19.6,-1.35,0.44,0.0,-0.0018,-0.0023,0.0093,0.66,0.365,,,,,,,,,
