time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.244,,0.0,0.0,0.012,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.359,,1.127,,,,,,,
0.248,,0.1882,-0.2577,0.012,,,,132.53,-1.56,0.63,0.0,0.0216,-0.0033,0.0017,0.678,0.359,,1.127,,,,,,,
0.253,,0.1844,-0.2575,0.011,,,,132.0,-1.66,0.52,0.0,0.0029,-0.0023,0.0016,0.68,0.358,,1.093,,,,,,,
0.257,,0.1859,-0.2592,0.013,,,,131.47,-1.66,0.61,0.0,0.01,-0.0106,-0.0016,0.68,0.358,,1.093,,,,,,,
0.316,,0.185,-0.257,0.011,,,,130.95,-1.63,0.52,0.0,0.0057,0.0008,0.0011,0.677,0.37,,1.107,,,,,,,
0.334,,0.1873,-0.2577,0.012,,,,130.42,-1.58,0.6,0.0,0.0171,-0.0029,-0.0018,0.677,0.37,,1.107,,,,,,,
0.383,,0.1842,-0.2573,0.009,,,,129.9,-1.65,0.52,0.0,0.0027,-0.0014,-0.0012,0.678,0.357,,,,,,,,,
0.432,,0.1856,-0.2562,0.011,,,,129.38,-1.59,0.52,0.0,0.0097,0.0038,-0.0072,0.678,0.357,,,,,,,,,
0.489,,0.1843,-0.2573,0.011,,,,128.86,-1.65,0.52,0.0,0.0038,-0.0021,-0.0058,0.68,0.36,,1.096,,,,,,,
0.539,,0.1854,-0.2587,0.011,,,,128.34,-1.64,0.58,0.0,0.0087,-0.0077,-0.0042,0.68,0.36,,1.096,,,,,,,
0.588,,0.1854,-0.2564,0.012,,,,127.82,-1.59,0.52,0.0,0.0087,0.0033,-0.0037,0.679,0.359,,,,,,,,,
0.632,,0.1843,-0.2573,0.011,,,,127.3,-1.65,0.52,0.0,0.0031,-0.001,-0.0005,0.679,0.359,,,,,,,,,
0.682,,0.1845,-0.2576,0.011,,,,126.79,-1.65,0.54,0.0,0.0041,-0.0017,-0.0016,0.684,0.359,,,,,,,,,
0.732,,0.1852,-0.257,0.013,,,,126.27,-1.61,0.53,0.0,0.0071,0.0015,-0.0013,0.684,0.359,,,,,,,,,
0.782,,0.185,-0.2568,0.012,,,,125.76,-1.62,0.52,0.0,0.0059,0.0018,0.0028,0.681,0.359,,1.098,,,,,,,
0.832,,0.1857,-0.2566,0.013,,,,125.25,-1.59,0.53,0.0,0.0094,0.0024,0.0027,0.681,0.359,,1.098,,,,,,,
0.895,,0.1871,-0.2586,0.011,,,,124.73,-1.59,0.62,0.0,0.0151,-0.0074,0.004,0.681,0.357,,,,,,,,,
0.962,,0.1844,-0.2571,0.012,,,,124.22,-1.64,0.52,0.0,0.0026,-0.0003,0.0003,0.681,0.357,,,,,,,,,
0.997,,0.1843,-0.2573,0.012,,,,123.72,-1.64,0.52,0.0,0.0022,-0.001,0.0003,0.682,0.359,,1.108,,,,,,,
1.043,,0.1847,-0.258,0.011,,,,123.21,-1.64,0.55,0.0,0.0048,-0.0047,-0.0001,0.682,0.359,,1.108,,,,,,,
1.083,,0.1845,-0.2571,0.011,,,,122.7,-1.63,0.52,0.0,0.0044,-0.0001,-0.0024,0.681,0.36,,1.131,,,,,,,
1.177,,0.1857,-0.2564,0.014,,,,122.2,-1.57,0.52,0.0,0.0101,0.0034,-0.0043,0.681,0.36,,1.131,,,,,,,
1.188,,0.1851,-0.2584,0.012,,,,121.7,-1.63,0.57,0.0,0.0063,-0.0063,0.0017,0.681,0.36,,,,,,,,,
1.238,,0.1851,-0.2584,0.01,,,,121.19,-1.63,0.57,0.0,0.0065,-0.0061,0.0004,0.681,0.36,,,,,,,,,
1.283,,0.1844,-0.2573,0.012,,,,120.69,-1.63,0.52,0.0,0.0038,-0.0008,-0.0046,0.679,0.361,,,,,,,,,
1.334,,0.1849,-0.257,0.011,,,,120.19,-1.6,0.52,0.0,0.0065,0.0012,-0.0024,0.679,0.361,,,,,,,,,
1.383,,0.1848,-0.2574,0.01,,,,119.7,-1.61,0.53,0.0,0.0057,-0.0005,-0.0029,0.683,0.361,,,,,,,,,
1.459,,0.1846,-0.2571,0.012,,,,119.2,-1.62,0.52,0.0,0.0049,0.0001,-0.0056,0.683,0.361,,,,,,,,,
1.491,,0.1847,-0.258,0.012,,,,118.7,-1.63,0.56,0.0,0.0053,-0.0046,-0.0028,0.681,0.357,,1.085,,,,,,,
1.548,,0.1848,-0.257,0.014,,,,118.2,-1.61,0.53,0.0,0.006,-0.0,0.0001,0.681,0.357,,1.085,,,,,,,
1.585,,0.1843,-0.2573,0.011,,,,117.71,-1.64,0.53,0.0,0.0034,-0.0021,0.0052,0.679,0.358,,1.12,,,,,,,
1.631,,0.185,-0.2569,0.012,,,,117.22,-1.61,0.53,0.0,0.0064,-0.0002,0.0012,0.679,0.358,,1.12,,,,,,,
