time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.303,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.611,0.14,0.701,0.573,,,
0.34,,-6.3155,-1.1821,0.013,126.24,-1.59,0.63,0.0,0.0069,-0.0045,-0.0015,1.611,0.14,0.701,0.571,,,
0.39,,-6.3158,-1.1828,0.012,125.73,-1.62,0.64,0.0,0.0044,-0.0075,-0.0007,1.626,0.138,0.702,0.571,,,
0.448,,-6.3153,-1.1821,0.013,125.22,-1.58,0.63,0.0,0.0065,-0.0029,-0.0015,1.626,0.138,0.702,0.571,,,
0.49,,-6.3156,-1.1832,0.011,124.72,-1.62,0.65,0.0,0.0049,-0.0034,-0.0035,1.614,0.137,0.703,0.571,,,
0.543,,-6.3163,-1.1831,0.012,124.21,-1.64,0.62,0.0,0.0068,-0.0017,-0.0035,1.614,0.137,0.703,0.579,,,
0.588,,-6.3156,-1.1818,0.014,123.71,-1.59,0.6,0.0,0.0035,-0.0054,0.0015,1.611,0.138,0.709,0.579,,,
0.638,,-6.3158,-1.1816,0.015,123.2,-1.59,0.6,0.0,0.0048,-0.0058,0.0013,1.611,0.138,0.709,0.578,,,
0.688,,-6.3159,-1.183,0.012,122.7,-1.62,0.63,0.0,0.004,-0.0071,0.0022,1.608,0.136,0.713,0.578,,,
0.739,,-6.3155,-1.1821,0.01,122.2,-1.59,0.62,0.0,0.0041,-0.0072,0.0016,1.608,0.136,0.713,0.578,,,
0.788,,-6.316,-1.1817,0.01,121.7,-1.6,0.59,0.0,0.0041,-0.0012,-0.0093,1.616,0.138,0.724,0.578,,,
0.878,,-6.3155,-1.182,0.012,121.2,-1.58,0.61,0.0,0.0046,-0.0047,-0.0095,1.616,0.138,0.724,0.574,,,
0.893,,-6.3155,-1.1816,0.011,120.7,-1.58,0.6,0.0,0.0016,0.0041,-0.0062,1.622,0.137,0.755,0.574,,,
0.944,,-6.3169,-1.1831,0.013,120.2,-1.66,0.62,0.0,0.0042,-0.0038,-0.0064,1.622,0.137,0.755,0.571,,,
0.987,,-6.3159,-1.1828,0.01,119.71,-1.61,0.63,0.0,0.0036,-0.0072,-0.0047,1.606,0.138,0.801,0.571,,,
1.039,,-6.3158,-1.1814,0.011,119.21,-1.58,0.6,0.0,0.0047,-0.0071,-0.0051,1.606,0.138,0.801,0.576,,,
1.088,,-6.3158,-1.1814,0.011,118.72,-1.58,0.59,0.0,0.0058,-0.0034,-0.0032,1.607,0.141,0.827,0.576,,,
1.184,,-6.3156,-1.1819,0.009,118.23,-1.58,0.61,0.0,0.0072,-0.006,-0.0042,1.607,0.141,0.827,0.574,,,
