time_s,x_m,y_m,z_down_m
0.079,0.0,0.0,0.011
0.128,-0.0807,-0.1027,0.011
0.179,-0.0801,-0.1027,0.012
0.228,-0.0802,-0.1028,0.012
0.287,-0.0801,-0.1027,0.013
0.331,-0.0806,-0.1026,0.012
0.386,-0.0806,-0.1027,0.009
0.43,-0.08,-0.1026,0.01
0.478,-0.0806,-0.1027,0.011
0.528,-0.08,-0.1026,0.011
0.578,-0.0806,-0.1026,0.011
0.628,-0.08,-0.1026,0.011
0.678,-0.08,-0.1026,0.012
0.729,-0.08,-0.1026,0.01
0.779,-0.08,-0.1026,0.011
0.828,-0.08,-0.1026,0.014
0.878,-0.0806,-0.102,0.011
0.927,-0.0806,-0.1021,0.008
0.977,-0.08,-0.1021,0.012
1.027,-0.0801,-0.1026,0.012
1.077,-0.0801,-0.1026,0.011
1.127,-0.0801,-0.1026,0.011
1.177,-0.0801,-0.1026,0.011
1.228,-0.0801,-0.1026,0.012
1.278,-0.0806,-0.1026,0.012
1.329,-0.0801,-0.1026,0.012
1.378,-0.0801,-0.1026,0.01
1.428,-0.0801,-0.1026,0.013
1.478,-0.08,-0.1025,0.011
1.527,-0.0806,-0.1024,0.011
1.578,-0.08,-0.1024,0.01
1.628,-0.08,-0.1024,0.011
1.677,-0.0807,-0.1024,0.01
1.727,-0.0793,-0.1024,0.011
1.777,-0.0806,-0.1024,0.011
1.827,-0.08,-0.1019,0.009
1.878,-0.0806,-0.1025,0.012
1.928,-0.08,-0.1025,0.011
1.977,0.0,0.0,0.009
2.028,0.0001,-0.0001,0.012
2.077,0.0001,-0.0002,0.011
2.127,0.0005,-0.0004,0.012
2.178,0.001,-0.0009,0.011
2.227,0.0006,-0.001,0.013
2.278,0.0002,-0.0006,0.012
2.328,0.0002,-0.0006,0.011
2.377,0.0009,-0.0007,0.012
2.428,0.0002,-0.0008,0.012
2.477,0.0011,-0.0008,0.013
2.528,0.0001,-0.0009,0.01
2.577,0.0001,0.0001,0.012
2.628,0.0008,-0.0006,0.011
2.677,0.0007,-0.0005,0.012
2.727,0.0,-0.0005,0.009
2.777,0.0006,-0.0005,0.012
2.827,0.0006,-0.0005,0.011
2.878,0.0006,-0.0005,0.01
2.927,0.0007,-0.0004,0.012
2.977,0.0008,-0.0004,0.011
3.027,0.0007,-0.0004,0.01
3.077,-0.0,-0.0004,0.011
3.127,0.0007,-0.0004,0.011
3.178,0.0007,-0.0003,0.012
3.228,-0.0002,-0.0003,0.011
3.278,-0.0003,-0.0002,0.01
3.328,0.0009,-0.0002,0.01
3.377,-0.0003,-0.0002,0.009
3.427,-0.0001,-0.0005,0.011
3.478,0.0006,-0.0005,0.011
3.527,-0.0001,-0.0004,0.011
3.577,0.0006,-0.0004,0.013
3.628,0.0006,-0.0004,0.01
3.678,-0.0001,-0.0004,0.013
3.727,0.0,-0.0,0.01
3.778,0.0005,-0.0001,0.01
3.828,0.0001,-0.0005,0.012
3.877,0.0001,-0.0005,0.012
3.927,0.0,-0.0005,0.012
3.977,0.0004,-0.0005,0.011
4.026,0.0,-0.0004,0.01
4.077,-0.0,-0.0004,0.011
4.127,0.0004,-0.0004,0.013
