time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.23,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.408,,0.152,
0.232,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.407,,0.152,
0.233,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.407,,0.149,
0.241,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.414,,0.149,
0.291,0.0004,-0.0018,0.01,0.02,-1.03,-0.14,0.0,0.0002,-0.0008,0.0023,,1.414,,0.152,
0.339,0.0006,-0.0006,0.01,0.02,-1.08,-0.16,0.0,0.0036,-0.0034,0.004,,1.415,,0.152,
0.389,0.0007,-0.0001,0.01,0.02,-1.09,-0.14,0.0,0.0009,-0.0006,0.0041,,1.415,,0.15,
0.445,0.0013,-0.0004,0.008,0.02,-1.08,-0.17,0.0,0.0006,-0.0011,-0.0001,,1.417,,0.15,
0.5,0.0015,-0.0006,0.01,0.02,-1.07,-0.17,0.0,0.0004,-0.0011,0.0017,,1.417,,0.15,
0.55,0.0015,-0.0009,0.01,0.02,-1.06,-0.17,0.0,0.0044,-0.004,0.0025,,1.417,,0.15,
0.589,0.0015,-0.001,0.009,0.02,-1.06,-0.18,0.0,0.0005,-0.0016,0.0006,,1.417,,0.154,
0.64,0.0007,-0.0001,0.009,0.03,-1.09,-0.14,0.0,0.0001,-0.0015,-0.0005,,1.41,,0.154,
0.69,0.0016,-0.0007,0.008,0.03,-1.07,-0.17,0.0,0.0044,-0.0046,-0.0034,,1.41,,0.152,
0.74,0.0007,-0.0001,0.009,0.02,-1.09,-0.14,0.0,0.0028,-0.0054,-0.0025,,1.414,,0.152,
0.789,0.0009,-0.0001,0.008,0.02,-1.09,-0.15,0.0,0.0031,-0.0044,-0.0037,,1.414,,0.15,
0.861,0.0007,-0.0001,0.01,0.03,-1.09,-0.14,0.0,0.0013,-0.002,-0.0002,,1.412,,0.15,
0.909,0.0009,-0.0001,0.008,0.03,-1.09,-0.15,0.0,0.0023,-0.0024,-0.0001,,1.412,,0.149,
0.94,0.0004,-0.0001,0.008,0.03,-1.09,-0.12,0.0,0.0035,-0.0033,-0.0016,,1.409,,0.149,
0.989,0.0007,-0.0001,0.009,0.03,-1.09,-0.13,0.0,-0.0012,-0.0019,-0.0009,,1.409,,0.15,
1.039,0.0015,-0.0009,0.01,0.03,-1.06,-0.17,0.0,0.0048,-0.0056,0.0018,,1.413,,0.15,
1.09,0.0009,-0.0001,0.007,0.03,-1.09,-0.15,0.0,-0.002,-0.0019,-0.0035,,1.413,,0.148,
1.158,0.0014,-0.0003,0.008,0.02,-1.08,-0.16,0.0,0.0008,-0.0016,-0.0036,,1.411,,0.148,
1.203,0.0007,-0.0001,0.009,0.02,-1.08,-0.13,0.0,0.0009,-0.0017,-0.0016,,1.411,,0.153,
1.239,0.0004,-0.0001,0.009,0.03,-1.08,-0.12,0.0,0.0049,-0.0031,0.0007,,1.411,,0.153,
1.291,0.0007,-0.0001,0.006,0.03,-1.08,-0.13,0.0,0.0003,-0.0016,0.0014,,1.411,,0.152,
1.339,0.0004,-0.0001,0.006,0.03,-1.08,-0.13,0.0,0.0005,-0.0017,-0.0046,,1.411,,0.152,
1.389,0.0009,-0.0001,0.008,0.03,-1.08,-0.14,0.0,0.0001,-0.0022,-0.0033,,1.411,,0.152,
1.472,0.0014,-0.0006,0.008,0.02,-1.06,-0.16,0.0,0.0043,-0.0058,-0.0026,,1.414,,0.152,
1.495,0.0006,-0.0,0.009,0.02,-1.09,-0.12,0.0,0.0004,-0.0021,0.0049,,1.414,,0.155,
1.539,0.0011,-0.0003,0.009,0.02,-1.08,-0.14,0.0,0.0035,-0.0048,0.0043,,1.412,,0.155,
