time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.091,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.542,,,
0.142,0.041,-0.2095,0.013,1.27,0.73,0.39,0.0,-0.0062,0.008,0.0038,,0.542,2.32,0.158,
0.191,0.0405,-0.2096,0.011,1.26,0.74,0.4,0.0,-0.0078,0.0076,0.0052,1.881,0.553,2.32,0.158,
0.242,0.0418,-0.2096,0.01,1.26,0.75,0.36,0.0,-0.0008,0.0071,0.0021,1.881,0.553,2.405,0.158,
0.291,0.0409,-0.2096,0.011,1.25,0.75,0.39,0.0,-0.006,0.0066,-0.002,1.87,0.591,2.405,0.158,
0.343,0.0407,-0.2092,0.01,1.25,0.73,0.39,0.0,-0.0064,0.0086,-0.0017,1.87,0.591,2.444,0.159,
0.392,0.0406,-0.2085,0.009,1.24,0.71,0.39,0.0,-0.006,0.0111,-0.0042,1.874,0.604,2.444,0.159,
0.442,0.0406,-0.2086,0.011,1.23,0.71,0.39,0.0,-0.0055,0.0099,-0.0066,1.874,0.604,2.468,0.162,
0.49,0.0397,-0.2091,0.009,1.22,0.73,0.42,0.0,-0.0105,0.007,-0.0031,,0.619,2.468,0.162,
0.541,0.0398,-0.2096,0.01,1.22,0.75,0.41,0.0,-0.0095,0.0045,-0.0039,,0.619,2.473,0.156,
0.591,0.0406,-0.2093,0.011,1.21,0.74,0.38,0.0,-0.0062,0.0057,-0.0017,1.882,0.641,2.473,0.156,
0.64,0.0406,-0.2094,0.01,1.21,0.74,0.37,0.0,-0.0059,0.0054,0.0014,1.882,0.641,2.514,0.158,
0.69,0.0406,-0.2089,0.01,1.2,0.71,0.37,0.0,-0.0053,0.008,0.0013,1.893,0.649,2.514,0.158,
0.741,0.0403,-0.2091,0.009,1.2,0.72,0.38,0.0,-0.0069,0.0074,0.001,1.893,0.649,2.539,0.149,
0.79,0.0395,-0.2095,0.011,1.19,0.74,0.41,0.0,-0.0102,0.0057,-0.0015,,0.638,2.539,0.149,
0.839,0.0407,-0.2085,0.012,1.19,0.7,0.36,0.0,-0.0042,0.0108,0.002,,0.638,2.493,0.157,
0.89,0.0402,-0.2085,0.011,1.18,0.69,0.38,0.0,-0.0068,0.0108,0.006,,0.629,2.493,0.157,
0.94,0.0403,-0.2093,0.01,1.18,0.73,0.37,0.0,-0.0058,0.0058,0.0055,,0.629,2.474,0.156,
0.99,0.0404,-0.208,0.009,1.17,0.68,0.36,0.0,-0.0052,0.0121,0.0021,,0.635,2.474,0.156,
1.041,0.0413,-0.2083,0.012,1.17,0.7,0.33,0.0,-0.0011,0.01,-0.0021,,0.635,2.439,0.164,
1.09,0.0394,-0.2098,0.01,1.16,0.75,0.4,0.0,-0.0098,0.0029,0.0024,1.873,0.647,2.439,0.164,
1.139,0.0412,-0.2085,0.012,1.16,0.7,0.33,0.0,-0.0007,0.0093,0.0003,1.873,0.647,2.449,0.158,
1.19,0.0401,-0.2088,0.01,1.15,0.72,0.37,0.0,-0.0064,0.0081,0.0036,1.875,0.669,2.449,0.158,
1.24,0.0398,-0.2091,0.012,1.15,0.73,0.38,0.0,-0.0077,0.0073,0.0006,1.875,0.669,2.411,0.158,
1.292,0.0401,-0.2089,0.01,1.14,0.73,0.36,0.0,-0.0058,0.0082,0.0031,,0.672,2.411,0.158,
1.34,0.0403,-0.2088,0.01,1.13,0.73,0.35,0.0,-0.0049,0.0082,-0.0001,,0.672,2.397,0.155,
1.391,0.04,-0.2088,0.011,1.12,0.73,0.36,0.0,-0.0059,0.0081,-0.002,,0.663,2.397,0.155,
1.44,0.0403,-0.2088,0.012,1.12,0.73,0.35,0.0,-0.0042,0.0076,-0.0006,,0.663,2.364,0.154,
1.49,0.0,0.0001,0.012,-0.0,0.0,0.0,0.0,0.001,0.0075,0.0,,0.664,2.364,0.154,
1.54,0.0,0.0005,0.011,-0.0,-0.02,0.07,0.0,0.001,0.0129,-0.0002,,0.664,2.342,0.156,
1.591,0.0,0.0002,0.011,-0.0,0.34,0.1,0.0,0.0021,0.0074,-0.0003,,0.665,2.342,0.156,
1.64,0.0001,0.0008,0.011,-0.01,0.33,0.12,0.0,0.002,0.0131,-0.001,,0.665,2.371,0.156,
