time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.078,0.0,0.0,0.013,0.0,0.0,0.0
0.13,0.0704,-0.0473,0.013,-0.0152,0.0004,0.0014
0.177,0.0711,-0.0477,0.012,-0.0076,-0.0031,0.0017
0.229,0.0684,-0.0454,0.012,-0.0218,0.0094,-0.0
0.279,0.0699,-0.0451,0.013,-0.0108,0.0085,-0.0008
0.326,0.0693,-0.0463,0.012,-0.0114,0.0007,0.0007
0.377,0.0735,-0.048,0.011,0.0147,-0.0095,-0.0007
0.428,0.0727,-0.0479,0.012,0.0073,-0.0081,-0.0035
0.479,0.0735,-0.0483,0.011,0.01,-0.0096,-0.003
0.527,0.0727,-0.0483,0.013,0.0036,-0.0093,-0.0039
0.577,0.0727,-0.0475,0.014,0.0022,-0.0041,0.0002
0.627,0.0738,-0.049,0.012,0.0077,-0.0125,0.0048
0.677,0.0727,-0.048,0.011,0.0013,-0.0066,0.0024
0.726,0.0716,-0.0485,0.013,-0.0051,-0.0091,-0.0015
0.776,0.0721,-0.0474,0.009,-0.0019,-0.0027,0.0003
0.827,0.0717,-0.0495,0.013,-0.0032,-0.0136,-0.0071
0.878,0.0708,-0.0476,0.012,-0.0071,-0.0027,-0.0017
0.926,0.0713,-0.0491,0.013,-0.005,-0.009,-0.0002
0.977,0.0709,-0.0485,0.013,-0.0069,-0.0046,0.003
1.027,0.0725,-0.0496,0.012,0.0025,-0.0099,0.0042
1.078,0.0725,-0.0475,0.01,0.0022,0.0013,0.0027
1.127,0.0725,-0.0495,0.011,0.0028,-0.0089,-0.0032
1.176,0.075,-0.0499,0.012,0.014,-0.0093,-0.0037
1.226,0.077,-0.0529,0.012,0.0229,-0.0241,-0.0024
1.278,0.0764,-0.0525,0.012,0.0153,-0.0179,-0.0002
1.327,0.076,-0.0505,0.012,0.0108,-0.0054,0.0007
1.378,0.0721,-0.048,0.011,-0.0091,0.0083,0.0012
1.426,0.072,-0.0501,0.01,-0.0081,-0.0032,-0.0012
1.477,0.0714,-0.0481,0.012,-0.0091,0.0071,-0.0039
1.526,0.0712,-0.0499,0.012,-0.0084,-0.0025,-0.0012
1.578,0.0705,-0.0492,0.013,-0.0115,0.0009,0.0009
1.627,0.0717,-0.0497,0.012,-0.0035,-0.0017,0.0038
1.676,0.072,-0.0488,0.014,-0.0013,0.0033,0.0034
1.727,0.0718,-0.0502,0.012,-0.0018,-0.0045,0.007
1.777,0.072,-0.0481,0.011,0.0,0.0059,0.0044
1.826,0.0715,-0.0509,0.013,-0.002,-0.0097,0.0004
1.876,0.0706,-0.0493,0.013,-0.0064,-0.0003,0.0021
1.927,0.0724,-0.0515,0.012,0.0033,-0.0112,0.0028
1.976,0.0,0.0,0.013,0.0009,0.0009,0.0001
2.026,0.0001,-0.0003,0.012,0.0049,-0.0044,0.0009
2.076,-0.0,0.0001,0.013,0.0033,0.0047,0.0003
2.127,-0.0003,-0.0004,0.013,0.0016,-0.0018,0.0018
2.177,0.0004,-0.0001,0.011,0.0074,0.0018,0.003
2.226,-0.0004,-0.0001,0.013,0.0002,0.0011,-0.0018
2.276,0.0011,0.0011,0.011,0.0109,0.0104,0.0004
2.326,-0.0002,-0.0012,0.011,0.0008,-0.0073,-0.0027
2.376,-0.0002,0.0006,0.014,0.0008,0.0048,-0.0038
2.428,-0.0003,-0.0009,0.012,0.0003,-0.0043,0.0025
2.476,0.0009,0.0008,0.013,0.0075,0.0053,0.0021
2.526,0.0008,-0.0004,0.014,0.0071,-0.0021,0.004
2.576,-0.0004,0.0033,0.014,-0.0002,0.0171,0.0068
