time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.301,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.417,,0.247,,,
0.305,,1.8282,3.291,0.01,-15.09,-1.64,0.23,0.0,-0.0045,0.0052,-0.0015,0.678,0.414,,0.247,,,
0.308,,1.8284,3.2919,0.012,-15.0,-1.68,0.22,0.0,-0.0042,0.0052,-0.0011,0.678,0.414,,0.247,,,
0.311,,1.8269,3.2907,0.011,-14.9,-1.61,0.26,0.0,-0.0003,0.0044,0.0033,0.674,0.419,,0.247,,,
0.314,,1.8284,3.2904,0.012,-14.81,-1.61,0.2,0.0,-0.0016,0.0102,0.0045,0.674,0.419,,0.247,,,
0.372,,1.8282,3.2913,0.013,-14.71,-1.64,0.22,0.0,0.0015,0.0092,0.0095,0.676,0.417,,0.247,,,
0.38,,1.8282,3.2906,0.013,-14.62,-1.61,0.2,0.0,-0.0052,0.0059,0.0104,0.676,0.417,,0.25,,,
0.431,,1.8282,3.2914,0.011,-14.53,-1.64,0.21,0.0,-0.0039,0.0054,0.0053,0.676,0.42,,0.25,,,
0.482,,1.8286,3.2913,0.011,-14.43,-1.64,0.19,0.0,-0.0001,0.0082,0.0065,0.676,0.42,,0.252,,,
0.531,,1.828,3.2908,0.013,-14.34,-1.62,0.21,0.0,0.0008,0.0092,0.0049,0.671,0.413,,0.252,,,
0.58,,1.8286,3.2917,0.013,-14.25,-1.66,0.2,0.0,-0.0045,0.0101,0.0059,0.671,0.413,,0.252,,,
0.64,,1.8283,3.2915,0.014,-14.16,-1.65,0.21,0.0,-0.0157,0.0119,0.0084,0.675,0.42,,0.252,,,
0.685,,1.8281,3.2927,0.011,-14.07,-1.69,0.22,0.0,-0.0034,0.0104,0.01,0.675,0.42,,0.248,,,
0.744,,1.8277,3.2927,0.013,-13.98,-1.68,0.24,0.0,-0.0035,0.009,0.0042,0.672,0.411,,0.248,,,
0.786,,1.8281,3.2918,0.012,-13.88,-1.64,0.21,0.0,-0.0013,0.0087,0.0049,0.672,0.411,,0.252,,,
0.831,,1.8278,3.2917,0.011,-13.8,-1.63,0.21,0.0,0.0051,0.0027,-0.0008,0.674,0.417,,0.252,,,
0.89,,1.8284,3.2915,0.011,-13.71,-1.63,0.18,0.0,-0.0002,0.0077,-0.0003,0.674,0.417,,0.252,,,
0.945,,1.8281,3.292,0.011,-13.63,-1.65,0.2,0.0,0.0013,0.0094,-0.0068,0.674,0.415,,0.252,,,
0.993,,1.828,3.2919,0.013,-13.53,-1.64,0.21,0.0,-0.0015,0.008,-0.0065,0.674,0.415,,0.246,,,
1.031,,1.8286,3.2924,0.014,-13.44,-1.66,0.19,0.0,-0.0039,0.0091,0.0069,0.676,0.42,,0.246,,,
1.099,,1.8281,3.2914,0.012,-13.35,-1.6,0.2,0.0,-0.0056,0.008,0.0078,0.676,0.42,,0.25,,,
1.136,,1.8282,3.293,0.012,-13.28,-1.67,0.21,0.0,-0.0037,0.0094,0.0048,0.676,0.415,,0.25,,,
1.193,,1.8283,3.2916,0.012,-13.18,-1.62,0.19,0.0,0.0,0.0083,0.0053,0.676,0.415,,0.25,,,
1.23,,1.8281,3.2915,0.011,-13.09,-1.61,0.2,0.0,-0.0045,0.0074,0.0002,0.672,0.421,,0.25,,,
1.282,,1.8286,3.2919,0.011,-13.01,-1.63,0.18,0.0,-0.0062,0.0082,0.0007,0.672,0.421,,,,,
1.371,,1.828,3.2923,0.011,-12.94,-1.65,0.21,0.0,0.0016,0.007,-0.0019,0.676,0.413,,,,,
1.401,,1.8287,3.2925,0.013,-12.84,-1.65,0.18,0.0,-0.0122,0.0064,-0.0012,0.676,0.413,,0.25,,,
