time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.292,,0.0,0.0,0.014,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662,0.405,0.794,0.244,,,,,,,
0.296,,20.0634,-24.1778,0.013,,,,19.67,-1.24,0.15,0.0,0.0036,-0.0018,-0.0032,0.662,0.405,0.799,0.252,,,,,,,
0.299,,20.0625,-24.1778,0.015,,,,19.57,-1.25,0.18,0.0,-0.0011,-0.0018,-0.0041,0.661,0.415,0.799,0.252,,,,,,,
0.302,,20.0626,-24.178,0.015,,,,19.47,-1.24,0.18,0.0,-0.0003,-0.003,-0.0003,0.661,0.415,0.8,0.242,,,,,,,
0.306,,20.0631,-24.1772,0.013,,,,19.37,-1.26,0.15,0.0,0.0028,0.0012,0.002,0.661,0.405,0.8,0.242,,,,,,,
0.347,,20.0636,-24.1784,0.016,,,,19.26,-1.2,0.15,0.0,0.0049,-0.0056,-0.0011,0.661,0.405,0.81,0.245,,,,,,,
0.373,,20.0632,-24.1772,0.013,,,,19.16,-1.26,0.14,0.0,0.0029,0.0011,0.0039,0.663,0.409,0.81,0.245,,,,,,,
0.423,,20.0614,-24.1779,0.013,,,,19.07,-1.25,0.23,0.0,-0.0073,-0.004,-0.0,0.663,0.409,0.818,0.244,,,,,,,
0.473,,20.0631,-24.1775,0.013,,,,18.97,-1.25,0.15,0.0,0.0022,-0.001,-0.0039,0.663,0.402,0.818,0.244,,,,,,,
0.538,,20.0633,-24.1782,0.014,,,,18.87,-1.22,0.14,0.0,0.0035,-0.0046,-0.0056,0.663,0.402,0.826,0.243,,,,,,,
0.582,,20.0632,-24.1781,0.014,,,,18.77,-1.22,0.13,0.0,0.0031,-0.0043,-0.0038,0.662,0.413,0.826,0.243,,,,,,,
0.646,,20.0635,-24.1783,0.014,,,,18.67,-1.21,0.12,0.0,0.0041,-0.0048,-0.0028,0.662,0.413,0.83,0.238,,,,,,,
0.673,,20.0632,-24.1775,0.014,,,,18.58,-1.24,0.12,0.0,0.0031,0.0003,-0.0015,0.663,0.405,0.83,0.238,,,,,,,
0.723,,20.0631,-24.1773,0.012,,,,18.48,-1.25,0.13,0.0,0.0024,0.0007,-0.0009,0.663,0.405,0.854,0.243,,,,,,,
0.773,,20.0633,-24.1777,0.014,,,,18.38,-1.23,0.13,0.0,0.0036,-0.002,-0.0049,0.66,0.41,0.854,0.243,,,,,,,
0.823,,20.0624,-24.1785,0.016,,,,18.28,-1.21,0.18,0.0,-0.0018,-0.006,-0.0024,0.66,0.41,0.899,0.241,,,,,,,
0.873,,20.0633,-24.1777,0.014,,,,18.19,-1.23,0.13,0.0,0.0031,-0.0021,0.0037,0.662,0.403,0.899,0.241,,,,,,,
0.939,,20.0617,-24.1781,0.011,,,,18.09,-1.24,0.21,0.0,-0.0066,-0.0051,0.0024,0.662,0.403,0.98,0.244,,,,,,,
0.99,,20.0623,-24.1782,0.013,,,,18.0,-1.23,0.18,0.0,-0.003,-0.0049,-0.0059,0.664,0.411,0.98,0.244,,,,,,,
1.027,,20.0631,-24.1774,0.014,,,,17.9,-1.26,0.13,0.0,0.0017,0.0005,-0.006,0.664,0.411,1.034,0.241,,,,,,,
1.074,,20.0625,-24.1775,0.012,,,,17.81,-1.26,0.15,0.0,-0.001,-0.0002,-0.003,0.662,0.405,1.034,0.241,,,,,,,
1.123,,20.0615,-24.1778,0.014,,,,17.71,-1.26,0.2,0.0,-0.0067,-0.0021,-0.0056,0.662,0.405,,0.249,,,,,,,
1.172,,20.0624,-24.1778,0.015,,,,17.62,-1.24,0.16,0.0,-0.002,-0.0017,-0.0016,0.662,0.413,,0.249,,,,,,,
1.267,,20.0633,-24.1779,0.015,,,,17.53,-1.23,0.12,0.0,0.0031,-0.0022,0.0023,0.662,0.413,,0.247,,,,,,,
1.281,,20.0627,-24.1789,0.016,,,,17.43,-1.2,0.16,0.0,-0.0007,-0.008,0.0043,0.663,0.404,,0.247,,,,,,,
1.324,,20.0632,-24.1776,0.013,,,,17.34,-1.24,0.12,0.0,0.0029,-0.0005,0.0073,0.663,0.404,,0.245,,,,,,,
1.374,,20.0632,-24.1774,0.015,,,,17.25,-1.25,0.12,0.0,0.0027,0.0005,0.0014,0.664,0.408,,0.245,,,,,,,
1.424,,20.0633,-24.1777,0.012,,,,17.16,-1.24,0.13,0.0,0.0027,-0.0013,0.0017,0.664,0.408,,,,,,,,,
1.484,,20.0625,-24.1776,0.015,,,,17.07,-1.25,0.17,0.0,-0.0017,-0.0013,-0.005,0.667,0.407,,,,,,,,,
1.525,,20.0634,-24.178,0.013,,,,16.98,-1.23,0.13,0.0,0.0038,-0.0027,-0.0018,0.667,0.407,,0.245,,,,,,,
1.574,,20.0636,-24.1789,0.014,,,,16.89,-1.19,0.14,0.0,0.0045,-0.0075,-0.0043,0.667,0.41,,0.245,,,,,,,
1.622,,20.0633,-24.1777,0.014,,,,16.8,-1.25,0.14,0.0,0.0021,-0.0016,-0.0037,0.667,0.41,,0.243,,,,,,,
1.673,,20.0632,-24.1774,0.013,,,,16.72,-1.26,0.13,0.0,0.0018,-0.0004,-0.0031,0.663,0.404,,0.243,,,,,,,
1.725,,20.063,-24.1777,0.015,,,,16.63,-1.25,0.14,0.0,0.0009,-0.0015,-0.0043,0.663,0.404,1.081,0.236,,,,,,,
1.81,,20.0628,-24.1785,0.013,,,,16.54,-1.23,0.16,0.0,-0.0005,-0.0053,-0.0001,0.662,0.409,1.081,0.236,,,,,,,
1.845,,20.0627,-24.1783,0.014,,,,16.45,-1.24,0.17,0.0,-0.0007,-0.0042,-0.0023,0.662,0.409,,0.24,,,,,,,
1.872,,20.0634,-24.1783,0.014,,,,16.36,-1.23,0.14,0.0,0.003,-0.0047,-0.0015,0.661,0.404,,0.24,,,,,,,
1.922,,20.0631,-24.1775,0.014,,,,16.28,-1.28,0.14,0.0,0.0017,0.0009,-0.001,0.661,0.404,,0.239,,,,,,,
1.974,,20.0633,-24.1781,0.015,,,,16.2,-1.25,0.14,0.0,0.0025,-0.0022,-0.0005,0.665,0.413,,0.239,,,,,,,
2.031,,20.0633,-24.1779,0.013,,,,16.11,-1.25,0.14,0.0,0.0021,-0.0012,0.0013,0.665,0.413,,0.245,,,,,,,
2.09,,20.0635,-24.1788,0.015,,,,16.02,-1.22,0.14,0.0,0.0036,-0.0061,-0.0026,0.665,0.408,,0.245,,,,,,,
2.13,,20.0633,-24.1779,0.013,,,,15.94,-1.26,0.14,0.0,0.0021,-0.0017,-0.0005,0.665,0.408,,0.245,,,,,,,
2.173,,20.0632,-24.1777,0.012,,,,15.85,-1.27,0.14,0.0,0.0019,-0.0003,-0.0036,0.661,0.411,,0.245,,,,,,,
2.223,,20.0613,-24.178,0.014,,,,15.77,-1.28,0.22,0.0,-0.0084,-0.0018,-0.0072,0.661,0.411,,0.245,,,,,,,
2.273,,20.0626,-24.1786,0.014,,,,15.69,-1.24,0.16,0.0,-0.0014,-0.0043,-0.0043,0.661,0.406,,0.245,,,,,,,
2.349,,20.0626,-24.1779,0.013,,,,15.61,-1.28,0.16,0.0,-0.0018,-0.0007,-0.0026,0.661,0.406,,,,,,,,,
2.392,,20.0634,-24.1786,0.015,,,,15.52,-1.24,0.13,0.0,0.0027,-0.0038,-0.0037,0.664,0.408,,,,,,,,,
2.422,,20.0625,-24.1784,0.015,,,,15.44,-1.26,0.17,0.0,-0.0025,-0.0027,0.0004,0.664,0.408,,0.245,,,,,,,
2.473,,20.0627,-24.1785,0.015,,,,15.36,-1.26,0.16,0.0,-0.0006,-0.0035,0.0024,0.665,0.405,,0.245,,,,,,,
2.522,,20.0622,-24.1782,0.016,,,,15.28,-1.28,0.17,0.0,-0.0033,-0.0022,0.003,0.665,0.405,1.095,0.243,,,,,,,
2.576,,0.0,-0.0,0.016,,,,-0.0,0.01,-0.0,0.0,0.0025,-0.0024,-0.0002,0.667,0.41,1.095,0.243,,,,,,,
2.634,,-0.0001,-0.0001,0.014,,,,-0.01,-0.11,0.1,0.0,-0.0014,-0.0084,-0.0008,0.667,0.41,,0.241,,,,,,,
2.693,,0.0001,-0.0008,0.014,,,,-0.01,-0.08,-0.01,0.0,0.0025,-0.0191,-0.0029,0.665,0.405,,0.241,,,,,,,
2.721,,-0.0004,-0.0004,0.012,,,,-0.02,-0.51,0.19,0.0,-0.0036,-0.0124,-0.004,0.665,0.405,1.089,0.244,,,,,,,
2.772,,0.0005,-0.0013,0.013,,,,-0.02,-0.49,-0.02,0.0,0.005,-0.0205,-0.0097,0.663,0.41,1.089,0.244,,,,,,,
2.843,,-0.0003,-0.0008,0.015,,,,-0.03,-0.78,0.14,0.0,-0.0016,-0.0136,-0.009,0.663,0.41,,0.245,,,,,,,
2.894,,0.0006,-0.001,0.013,,,,-0.03,-0.85,0.0,0.0,0.0052,-0.0144,-0.0039,0.664,0.405,,0.245,,,,,,,
2.946,,-0.0011,-0.0006,0.017,,,,-0.03,-0.99,0.21,0.0,-0.0066,-0.0104,-0.0053,0.664,0.405,,0.242,,,,,,,
