time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.24,,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.397,,0.229,,,
0.24,,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.402,,0.23,,,
0.242,,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,0.402,,0.23,,,
0.243,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.4,2.547,0.232,,,
0.305,,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.4,2.547,0.232,,,
0.338,,0.0025,-0.0016,0.014,-0.17,-1.47,0.06,0.0,0.0041,-0.0027,-0.0009,0.679,0.398,,0.231,,,
0.387,,0.0025,-0.0018,0.015,-0.17,-1.46,0.06,0.0,0.0037,-0.0042,-0.0032,0.679,0.398,,0.231,,,
0.437,,0.002,-0.002,0.015,-0.17,-1.46,0.08,0.0,0.0016,-0.0047,-0.002,0.675,0.397,,0.228,,,
0.495,,0.001,-0.0008,0.014,-0.17,-1.51,0.11,0.0,-0.0034,0.0022,-0.0007,0.675,0.397,,0.228,,,
0.543,,0.0032,-0.0008,0.014,-0.17,-1.51,0.02,0.0,0.0069,0.0018,-0.0021,0.679,0.4,,0.227,,,
0.587,,0.0025,-0.0015,0.016,-0.17,-1.48,0.05,0.0,0.0031,-0.0017,-0.0026,0.679,0.4,,0.227,,,
0.637,,0.0032,-0.0007,0.015,-0.17,-1.51,0.03,0.0,0.0064,0.0022,0.0018,0.679,0.397,,0.231,,,
0.687,,0.0023,-0.0019,0.018,-0.17,-1.46,0.07,0.0,0.0013,-0.0039,0.0012,0.679,0.397,,0.231,,,
0.736,,0.0021,-0.0021,0.015,-0.17,-1.45,0.07,0.0,0.0005,-0.0056,0.0071,0.678,0.397,,0.228,,,
0.788,,0.0021,-0.0014,0.014,-0.18,-1.48,0.07,0.0,0.0008,-0.0021,0.0028,0.678,0.397,,0.228,,,
0.86,,0.0013,-0.0006,0.017,-0.17,-1.51,0.1,0.0,-0.0028,0.0016,-0.0021,0.679,0.399,,0.227,,,
0.923,,0.0013,-0.0005,0.017,-0.17,-1.51,0.1,0.0,-0.0025,0.0022,0.0023,0.679,0.399,,0.227,,,
0.957,,0.0021,-0.0014,0.014,-0.17,-1.48,0.07,0.0,0.0018,-0.002,0.005,0.677,0.397,2.502,0.23,,,
0.988,,0.0026,-0.0019,0.016,-0.18,-1.46,0.05,0.0,0.0036,-0.0045,-0.0008,0.677,0.397,2.502,0.23,,,
1.037,,0.0034,-0.0011,0.015,-0.18,-1.49,0.02,0.0,0.0078,-0.0005,0.0,0.68,0.397,,0.232,,,
1.087,,0.0024,-0.0018,0.014,-0.18,-1.47,0.07,0.0,0.0023,-0.0038,-0.0017,0.68,0.397,,0.232,,,
1.139,,0.0026,-0.0006,0.014,-0.17,-1.51,0.05,0.0,0.0043,0.0017,-0.0053,0.68,0.396,,0.229,,,
1.203,,0.0029,-0.0025,0.015,-0.18,-1.44,0.04,0.0,0.0062,-0.0077,-0.0066,0.68,0.396,,0.229,,,
1.271,,0.0027,-0.0015,0.016,-0.18,-1.48,0.06,0.0,0.0042,-0.0021,-0.0048,0.681,0.397,,0.227,,,
1.291,,0.0023,-0.002,0.016,-0.18,-1.46,0.08,0.0,0.0021,-0.0048,-0.0012,0.681,0.397,,0.227,,,
1.339,,0.0033,-0.0005,0.014,-0.18,-1.51,0.04,0.0,0.0068,0.0025,0.001,0.68,0.397,,0.225,,,
1.409,,0.0033,-0.0027,0.016,-0.18,-1.42,0.04,0.0,0.0062,-0.0089,-0.002,0.68,0.397,,0.225,,,
1.454,,0.0027,-0.0005,0.013,-0.18,-1.51,0.07,0.0,0.0033,0.0026,0.0005,0.678,0.398,2.484,0.231,,,
1.495,,0.0023,-0.0016,0.013,-0.18,-1.47,0.1,0.0,0.0015,-0.0036,-0.0049,0.678,0.398,2.484,0.231,,,
1.537,,0.0035,-0.0021,0.015,-0.19,-1.44,0.05,0.0,0.0077,-0.0063,-0.0073,0.681,0.396,,0.226,,,
1.588,,0.0034,-0.0023,0.014,-0.19,-1.44,0.05,0.0,0.0077,-0.007,-0.0035,0.681,0.396,,0.226,,,
1.637,,0.003,-0.0005,0.017,-0.19,-1.51,0.07,0.0,0.0044,0.0023,-0.0035,0.679,0.402,,0.23,,,
1.688,,0.0019,-0.0011,0.015,-0.18,-1.48,0.12,0.0,-0.0019,-0.001,0.0031,0.679,0.402,,0.23,,,
1.744,,0.0016,-0.0004,0.015,-0.18,-1.51,0.13,0.0,-0.0033,0.0023,0.0018,0.679,0.398,,0.231,,,
1.802,,0.0005,-0.0013,0.015,-0.18,-1.47,0.16,0.0,-0.0079,-0.0027,0.001,0.679,0.398,,0.231,,,
1.837,,0.0016,-0.0015,0.015,-0.18,-1.45,0.1,0.0,-0.0008,-0.0042,0.0004,0.679,0.395,,0.232,,,
1.889,,0.0011,-0.0015,0.014,-0.18,-1.46,0.11,0.0,-0.003,-0.0041,0.0004,0.679,0.395,,0.232,,,
1.958,,0.0011,-0.0003,0.017,-0.19,-1.5,0.1,0.0,-0.0023,0.0019,-0.002,0.675,0.4,,0.233,,,
1.998,,-0.0,-0.0005,0.016,-0.19,-1.5,0.14,0.0,-0.0075,0.0011,0.0033,0.675,0.4,,0.233,,,
2.041,,0.0012,-0.0003,0.015,-0.19,-1.5,0.08,0.0,-0.0005,0.0024,0.0039,0.679,0.398,,0.231,,,
2.087,,0.0003,-0.0003,0.015,-0.19,-1.49,0.11,0.0,-0.0048,0.002,0.0013,0.679,0.398,,0.231,,,
2.138,,0.0001,-0.0002,0.015,-0.19,-1.49,0.12,0.0,-0.0059,0.0018,-0.0001,0.678,0.398,,0.232,,,
2.188,,0.001,-0.0014,0.017,-0.19,-1.44,0.07,0.0,-0.0006,-0.0047,-0.0007,0.678,0.398,,0.232,,,
2.238,,0.0012,-0.0002,0.016,-0.19,-1.49,0.06,0.0,0.0006,0.0012,0.0028,0.678,0.398,,0.227,,,
2.295,,0.0013,-0.0013,0.018,-0.19,-1.45,0.07,0.0,0.0003,-0.0047,0.0027,0.678,0.398,,0.227,,,
2.336,,0.0017,-0.0008,0.019,-0.19,-1.48,0.04,0.0,0.0026,-0.0016,0.0069,0.678,0.398,,0.224,,,
2.387,,0.001,-0.0003,0.016,-0.19,-1.49,0.07,0.0,-0.0004,0.0008,0.0106,0.678,0.398,,0.224,,,
2.438,,0.0008,-0.0001,0.016,-0.19,-1.5,0.08,0.0,-0.0016,0.0018,0.0047,0.679,0.397,2.454,0.229,,,
2.504,,0.0004,-0.0001,0.014,-0.19,-1.5,0.09,0.0,-0.0036,0.0015,-0.0003,0.679,0.397,2.454,0.229,,,
2.541,,0.0015,-0.0002,0.015,-0.19,-1.5,0.04,0.0,0.0029,0.0012,-0.008,0.679,0.397,,0.23,,,
2.588,,0.0002,-0.0001,0.016,-0.19,-1.49,0.1,0.0,-0.0045,0.0009,-0.0088,0.679,0.397,,0.23,,,
2.636,,0.0004,-0.0001,0.016,-0.19,-1.49,0.08,0.0,-0.0022,0.0008,-0.0058,0.679,0.396,,0.23,,,
2.687,,-0.0002,0.0001,0.014,-0.0,-0.15,0.13,0.0,-0.006,0.0009,-0.0002,0.679,0.396,,0.23,,,
2.737,,0.0003,0.0001,0.015,-0.0,-0.21,-0.11,0.0,0.0058,-0.0077,-0.002,0.677,0.398,,0.225,,,
2.816,,-0.0007,-0.0002,0.016,-0.0,-0.43,0.34,0.0,-0.0098,-0.0137,-0.0017,0.677,0.398,,0.225,,,
2.849,,0.0006,-0.0003,0.013,-0.01,-0.65,-0.11,0.0,0.0081,-0.0125,0.0006,0.679,0.396,2.497,0.227,,,
2.886,,-0.0001,-0.001,0.016,-0.01,-0.68,0.15,0.0,-0.0014,-0.0187,-0.0062,0.679,0.396,2.497,0.227,,,
2.937,,-0.0005,-0.001,0.016,-0.01,-0.86,0.19,0.0,-0.0041,-0.0168,-0.0018,0.68,0.4,2.472,0.231,,,
2.987,,-0.0011,-0.0003,0.015,-0.01,-1.09,0.26,0.0,-0.0085,-0.0096,0.0011,0.68,0.4,2.472,0.231,,,
3.049,,0.0009,-0.0002,0.016,-0.01,-1.16,-0.01,0.0,0.0067,-0.0077,0.0,0.679,0.399,,0.236,,,
3.099,,-0.0011,-0.0001,0.014,-0.01,-1.23,0.23,0.0,-0.0075,-0.0063,0.0018,0.679,0.399,,0.236,,,
3.137,,0.0004,0.0,0.015,-0.01,-1.28,0.08,0.0,0.0021,-0.0054,-0.0023,0.679,0.397,,0.226,,,
3.186,,-0.0004,-0.0007,0.016,-0.01,-1.24,0.14,0.0,-0.0026,-0.0101,-0.002,0.679,0.397,,0.226,,,
3.237,,-0.0014,0.0,0.016,-0.01,-1.33,0.2,0.0,-0.0085,-0.0044,0.0004,0.677,0.396,,0.227,,,
3.287,,0.0007,-0.0014,0.014,-0.01,-1.25,0.04,0.0,0.0049,-0.0129,0.0014,0.677,0.396,,0.227,,,
3.366,,0.0008,0.0,0.016,-0.01,-1.37,0.04,0.0,0.0048,-0.0038,-0.0028,0.68,0.4,,0.228,,,
3.399,,-0.0015,0.0,0.015,-0.02,-1.38,0.18,0.0,-0.0078,-0.0037,-0.0006,0.68,0.4,,0.228,,,
3.437,,-0.0013,0.0001,0.016,-0.02,-1.4,0.16,0.0,-0.0057,-0.0028,-0.0017,0.679,0.395,,0.227,,,
3.487,,0.0014,-0.0027,0.016,-0.02,-1.27,0.02,0.0,0.0079,-0.0167,-0.0002,0.679,0.395,,0.227,,,
3.536,,-0.0002,-0.0007,0.015,-0.02,-1.38,0.11,0.0,-0.0007,-0.0062,0.0003,0.679,0.399,,0.23,,,
3.595,,-0.0014,0.0002,0.015,-0.03,-1.43,0.17,0.0,-0.0069,-0.0009,-0.0018,0.679,0.399,,0.23,,,
3.639,,0.0008,0.0002,0.013,-0.03,-1.44,0.07,0.0,0.0036,-0.0011,-0.0026,0.679,0.395,,0.233,,,
3.686,,-0.0014,0.0003,0.016,-0.03,-1.44,0.15,0.0,-0.0066,-0.0011,-0.0069,0.679,0.395,,0.233,,,
3.739,,0.001,0.0003,0.014,-0.03,-1.45,0.05,0.0,0.0062,-0.0006,-0.0024,0.679,0.399,,0.227,,,
3.786,,0.0012,0.0003,0.016,-0.03,-1.46,0.05,0.0,0.0068,0.0003,-0.0039,0.679,0.399,,0.227,,,
3.837,,0.0011,0.0001,0.015,-0.03,-1.45,0.05,0.0,0.006,-0.0009,0.0001,0.68,0.397,,0.228,,,
3.897,,-0.0004,-0.0009,0.017,-0.03,-1.41,0.11,0.0,-0.0009,-0.0063,0.0002,0.68,0.397,,0.228,,,
3.938,,-0.0011,0.0004,0.015,-0.03,-1.47,0.14,0.0,-0.0047,0.0004,0.0044,0.679,0.399,,0.232,,,
3.987,,-0.0001,-0.001,0.016,-0.03,-1.42,0.1,0.0,0.0001,-0.0066,0.0017,0.679,0.399,,0.232,,,
4.036,,-0.0011,0.0004,0.017,-0.03,-1.48,0.14,0.0,-0.0042,0.001,0.0019,0.681,0.397,,0.227,,,
4.087,,-0.0009,-0.001,0.017,-0.03,-1.42,0.12,0.0,-0.0023,-0.0064,0.0037,0.681,0.397,,0.227,,,
4.139,,0.0003,0.0005,0.013,-0.04,-1.49,0.08,0.0,0.0038,0.0013,0.0049,0.68,0.397,,0.229,,,
4.194,,0.0001,-0.0005,0.015,-0.04,-1.44,0.08,0.0,0.0023,-0.0043,-0.0049,0.68,0.397,,0.229,,,
4.249,,0.0001,0.0005,0.016,-0.04,-1.49,0.08,0.0,0.0019,0.0011,-0.0059,0.679,0.396,,0.226,,,
4.287,,-0.0013,0.0005,0.017,-0.04,-1.49,0.15,0.0,-0.0058,0.0012,-0.003,0.679,0.396,,0.226,,,
4.336,,-0.0011,0.0005,0.017,-0.04,-1.49,0.13,0.0,-0.0045,0.0012,0.0007,0.68,0.401,,0.228,,,
4.41,,-0.0001,-0.0012,0.016,-0.04,-1.42,0.09,0.0,0.0012,-0.0078,0.0032,0.68,0.401,,0.228,,,
4.457,,0.0004,0.0006,0.016,-0.05,-1.49,0.07,0.0,0.0037,0.0024,0.0014,0.679,0.4,,0.226,,,
4.513,,-0.0013,0.0006,0.014,-0.05,-1.49,0.15,0.0,-0.0057,0.0025,0.0002,0.679,0.4,,0.226,,,
4.538,,0.0001,0.0005,0.015,-0.05,-1.48,0.08,0.0,0.0022,0.002,-0.004,0.679,0.399,,0.229,,,
4.586,,0.0011,-0.0017,0.017,-0.05,-1.39,0.04,0.0,0.0069,-0.0092,-0.0047,0.679,0.399,,0.229,,,
4.636,,0.0009,-0.0016,0.015,-0.05,-1.38,0.06,0.0,0.0052,-0.0097,0.0002,0.679,0.399,,0.227,,,
4.687,,-0.0001,-0.0008,0.014,-0.05,-1.42,0.09,0.0,0.0005,-0.0053,-0.0011,0.679,0.399,,0.227,,,
4.752,,0.0006,0.0019,0.013,-0.05,-1.54,0.07,0.0,0.0045,0.0086,-0.0048,0.679,0.398,,0.231,,,
4.786,,-0.0012,-0.0012,0.013,-0.05,-1.4,0.14,0.0,-0.0051,-0.0086,-0.0082,0.679,0.398,,0.231,,,
4.836,,-0.0012,0.0005,0.015,-0.05,-1.48,0.13,0.0,-0.0044,0.0002,-0.0098,0.679,0.4,,0.229,,,
4.886,,-0.0005,-0.0005,0.017,-0.05,-1.43,0.1,0.0,-0.0002,-0.0049,-0.0049,0.679,0.4,,0.229,,,
4.955,,-0.0002,-0.0002,0.016,-0.05,-1.44,0.08,0.0,0.0016,-0.0037,0.0021,0.677,0.398,,0.23,,,
5.0,,-0.0006,0.0006,0.014,-0.06,-1.48,0.1,0.0,-0.0009,0.0009,0.0037,0.677,0.398,,0.23,,,
5.037,,0.0011,0.0006,0.017,-0.06,-1.48,0.03,0.0,0.0079,0.0006,-0.0002,0.679,0.397,,0.231,,,
5.086,,-0.0008,0.0007,0.017,-0.06,-1.48,0.11,0.0,-0.0025,0.0008,0.0046,0.679,0.397,,0.231,,,
5.136,,0.0002,0.0007,0.016,-0.06,-1.48,0.07,0.0,0.0032,0.001,0.007,0.679,0.399,,0.228,,,
5.186,,-0.0004,0.0005,0.017,-0.06,-1.47,0.1,0.0,-0.0004,-0.0005,0.0051,0.679,0.399,,0.228,,,
5.236,,0.0,0.0017,0.013,-0.06,-1.51,0.09,0.0,0.0012,0.0057,0.006,0.679,0.396,,0.228,,,
5.296,,0.0004,-0.0005,0.013,-0.06,-1.4,0.08,0.0,0.0029,-0.0078,-0.0036,0.679,0.396,,0.228,,,
5.336,,0.0008,0.0007,0.013,-0.07,-1.47,0.06,0.0,0.0047,-0.0006,-0.0081,0.679,0.399,,0.228,,,
5.386,,0.0001,-0.0008,0.016,-0.06,-1.41,0.11,0.0,-0.0003,-0.0083,-0.0103,0.679,0.399,,0.228,,,
5.436,,-0.0001,-0.0003,0.015,-0.07,-1.44,0.12,0.0,-0.0013,-0.0054,-0.0042,0.681,0.399,,0.225,,,
5.499,,-0.0007,0.0005,0.016,-0.07,-1.48,0.14,0.0,-0.0046,0.0003,-0.0021,0.681,0.399,,0.225,,,
5.546,,0.0009,0.0019,0.016,-0.07,-1.53,0.07,0.0,0.0038,0.0075,0.0011,0.679,0.398,,0.226,,,
5.6,,0.0001,0.0018,0.018,-0.07,-1.51,0.11,0.0,-0.0012,0.005,0.0034,0.679,0.398,,0.226,,,
5.636,,0.0002,0.0036,0.014,-0.07,-1.57,0.12,0.0,-0.0017,0.0132,0.0081,0.676,0.395,,0.229,,,
5.687,,0.0002,0.0022,0.015,-0.07,-1.5,0.11,0.0,-0.002,0.0043,0.0015,0.676,0.395,,0.229,,,
5.736,,0.002,0.0019,0.016,-0.07,-1.48,0.03,0.0,0.0085,0.0016,-0.0004,0.679,0.397,2.508,0.233,,,
5.813,,0.0013,0.0017,0.015,-0.07,-1.46,0.06,0.0,0.0045,0.0002,0.0005,0.679,0.397,2.508,0.233,,,
5.852,,0.0008,0.0031,0.014,-0.07,-1.51,0.09,0.0,0.0015,0.0062,-0.001,0.678,0.397,,0.227,,,
5.885,,0.0006,0.0019,0.015,-0.08,-1.46,0.09,0.0,0.0001,-0.0006,-0.004,0.678,0.397,,0.227,,,
5.936,,0.0015,0.002,0.017,-0.08,-1.46,0.06,0.0,0.0048,-0.0013,-0.0038,0.68,0.398,,0.226,,,
5.986,,0.0003,0.0018,0.015,-0.08,-1.44,0.11,0.0,-0.0022,-0.0027,0.0016,0.68,0.398,,0.226,,,
6.05,,0.0007,0.002,0.014,-0.08,-1.45,0.11,0.0,0.0008,-0.0012,-0.0001,0.678,0.397,2.456,0.232,,,
6.096,,0.0009,0.002,0.016,-0.08,-1.45,0.1,0.0,0.0032,-0.0009,-0.0036,0.678,0.397,2.456,0.232,,,
6.156,,0.002,0.0022,0.016,-0.08,-1.45,0.06,0.0,0.0099,0.0007,-0.0013,0.678,0.399,,0.234,,,
6.186,,0.0013,0.002,0.016,-0.08,-1.44,0.1,0.0,0.0065,-0.0003,0.0005,0.678,0.399,,0.234,,,
6.237,,0.0021,0.0021,0.014,-0.08,-1.43,0.07,0.0,0.0107,-0.0001,0.002,0.679,0.4,,0.227,,,
6.287,,0.0003,0.0023,0.015,-0.08,-1.43,0.16,-0.0,0.0009,0.0006,-0.002,0.679,0.4,,0.227,,,
6.336,,0.0008,0.0024,0.014,-0.09,-1.46,0.11,-0.0,0.003,0.0071,-0.0016,0.679,0.397,,0.234,,,
6.401,,0.0004,0.0034,0.015,-0.1,-1.51,0.1,-0.0,-0.0012,0.0212,-0.0054,0.679,0.397,,0.234,,,
6.446,,0.0003,0.0089,0.011,-0.08,-1.54,0.2,-0.0,-0.0029,0.0547,-0.0017,0.68,0.395,,0.226,,,
6.486,,-0.0007,0.0165,0.003,-0.09,-1.02,0.23,-0.0,-0.0088,0.0889,0.0014,0.68,0.395,,0.226,,,
6.537,,-0.0059,0.026,0.0,-0.1,-0.21,0.13,-0.0,-0.0335,0.1196,0.0113,0.682,0.409,,0.181,,,
6.608,,-0.0181,0.0298,0.0,-0.2,1.3,0.49,-0.0,-0.0884,0.1043,0.036,0.682,0.409,,0.181,,,
6.663,,-0.0143,0.0213,0.003,-0.38,2.21,0.04,-0.0,-0.0503,0.023,0.0695,0.679,0.418,2.444,,,,
6.692,,-0.0159,0.0173,0.02,-0.5,2.29,-0.47,-0.0,-0.0424,-0.0216,0.0927,0.679,0.418,2.444,,,,
6.745,,-0.0075,0.0069,0.033,-0.67,2.11,-0.86,-0.0,0.0125,-0.0858,0.1407,0.68,0.425,,1.371,,,
6.785,,-0.0049,0.0022,0.055,-0.71,1.16,-0.53,-0.0,0.0294,-0.1023,0.1882,0.68,0.425,,1.371,,,
6.836,,-0.0072,-0.0049,0.07,-0.64,0.18,0.1,-0.0,0.0121,-0.1158,0.2339,0.677,0.428,,1.381,,,
6.888,,-0.0042,-0.0138,0.083,-0.68,-0.58,0.36,-0.0,0.0216,-0.1293,0.2468,0.677,0.428,,1.381,,,
6.942,,-0.0035,-0.0218,0.095,-0.67,-0.99,0.27,-0.0,0.0167,-0.1293,0.2523,0.675,0.449,,1.379,,,
6.989,,-0.0019,-0.0263,0.108,-0.72,-1.37,0.08,-0.0,0.0192,-0.1112,0.2412,0.675,0.449,,1.379,,,
7.035,,-0.0024,-0.0312,0.114,-0.71,-1.63,0.39,-0.0,0.0099,-0.0961,0.2388,0.672,,,1.376,,,
7.086,,-0.0014,-0.0352,0.128,-0.79,-1.85,0.4,-0.0,0.0095,-0.0804,0.2214,0.672,,,1.376,,,
7.159,,-0.0016,-0.0386,0.132,-0.88,-1.9,0.44,-0.0,0.0034,-0.0631,0.2275,0.666,,2.478,1.369,,,
7.205,,-0.0019,-0.0407,0.143,-0.96,-1.71,0.49,-0.0,-0.0018,-0.044,0.2218,0.666,,2.478,1.369,,,
7.241,,-0.0024,-0.0418,0.149,-1.07,-1.44,0.36,-0.0,-0.0073,-0.027,0.2225,0.666,,2.416,1.367,,,
7.285,,-0.0014,-0.0446,0.164,-1.07,-1.2,0.28,-0.0,-0.0042,-0.0218,0.2225,0.666,,2.416,1.367,,,
7.336,,0.0001,-0.0455,0.174,-1.09,-0.96,-0.01,-0.0,0.002,-0.0124,0.2293,0.666,,,1.378,,,
7.386,,-0.004,-0.0485,0.187,-1.15,-0.65,0.11,-0.0,-0.0149,-0.0158,0.2377,0.666,,,1.378,,,
7.443,,-0.004,-0.0483,0.197,-1.13,-0.57,0.05,-0.0,-0.0131,-0.0075,0.2352,0.669,,,1.372,,,
7.489,,-0.0056,-0.0475,0.209,-1.13,-0.44,-0.08,-0.0,-0.0162,0.001,0.2288,0.669,,,1.372,,,
7.546,,-0.0072,-0.0544,0.222,-1.15,-0.13,-0.01,-0.0,-0.0189,-0.0215,0.2239,0.671,,2.417,1.366,,,
7.586,,-0.0088,-0.0549,0.238,-1.21,-0.1,-0.28,-0.0,-0.0203,-0.0188,0.2202,0.671,,2.417,1.366,,,
