time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.245,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.434,,1.173,,,,,
0.249,,-0.0079,-0.0011,0.015,0.04,-0.44,0.35,0.0,-0.0005,0.0009,0.0017,0.679,0.434,,1.171,,,,,
0.253,,-0.008,-0.0027,0.015,0.04,-0.37,0.35,0.0,0.0001,-0.0091,0.0043,0.677,0.431,,1.171,,,,,
0.258,,-0.0074,-0.0029,0.015,0.04,-0.36,0.32,0.0,0.0033,-0.0095,0.0052,0.677,0.431,2.46,1.167,,,,,
0.319,,-0.0086,-0.0011,0.014,0.04,-0.45,0.38,0.0,-0.0034,0.0005,0.0051,0.676,0.434,2.46,1.167,,,,,
0.341,,-0.009,-0.0027,0.013,0.04,-0.37,0.39,0.0,-0.005,-0.0087,0.0026,0.676,0.434,,1.173,,,,,
0.385,,-0.0074,-0.003,0.014,0.04,-0.36,0.32,0.0,0.0041,-0.0098,-0.0014,0.679,0.437,,1.173,,,,,
0.434,,-0.0085,-0.0022,0.014,0.04,-0.39,0.37,0.0,-0.0013,-0.0056,-0.0016,0.679,0.437,,1.182,,,,,
0.484,,-0.0087,-0.0032,0.011,0.04,-0.36,0.38,0.0,-0.0022,-0.01,-0.0019,0.679,0.435,,1.182,,,,,
0.539,,-0.0089,-0.0031,0.014,0.04,-0.36,0.4,0.0,-0.0041,-0.0092,-0.0076,0.679,0.435,,1.187,,,,,
0.584,,-0.0079,-0.0031,0.015,0.04,-0.36,0.35,0.0,0.0019,-0.0091,-0.0035,0.682,0.43,,1.187,,,,,
0.639,,-0.0089,-0.0031,0.014,0.04,-0.37,0.4,0.0,-0.0037,-0.0085,0.0014,0.682,0.43,,1.17,,,,,
0.692,,-0.0083,-0.003,0.014,0.04,-0.37,0.38,0.0,-0.0008,-0.0083,0.0019,0.679,0.439,,1.17,,,,,
0.746,,-0.0084,-0.0033,0.012,0.05,-0.36,0.39,0.0,-0.0,-0.0093,0.0021,0.679,0.439,,1.179,,,,,
0.787,,-0.0097,-0.0013,0.011,0.05,-0.45,0.44,0.0,-0.0069,0.0016,-0.0025,0.679,0.433,,1.179,,,,,
0.837,,-0.009,-0.0032,0.012,0.05,-0.37,0.42,0.0,-0.0039,-0.0091,-0.0065,0.679,0.433,,1.195,,,,,
0.885,,-0.0086,-0.0026,0.013,0.05,-0.4,0.4,0.0,-0.0018,-0.0053,-0.0064,0.676,0.438,,1.195,,,,,
0.946,,-0.0049,-0.0039,0.012,0.05,-0.35,0.28,0.0,0.0154,-0.0118,-0.0036,0.676,0.438,,1.179,,,,,
0.983,,-0.0049,-0.0024,0.014,0.05,-0.43,0.32,0.0,0.0119,-0.002,-0.0031,0.683,0.431,,1.179,,,,,
1.032,,-0.0054,-0.0033,0.014,0.05,-0.4,0.36,0.0,0.007,-0.0064,0.0017,0.683,0.431,2.496,1.188,,,,,
1.089,,-0.0045,-0.004,0.012,0.05,-0.38,0.35,0.0,0.01,-0.0095,0.0041,0.682,0.435,2.496,1.188,,,,,
1.143,,-0.0053,-0.0029,0.013,0.05,-0.43,0.41,0.0,0.003,-0.0034,0.0004,0.682,0.435,,,,,,,
1.185,,-0.0049,-0.0025,0.011,0.04,-0.45,0.41,0.0,0.0033,-0.0003,0.0007,0.674,0.431,,,,,,,
1.233,,-0.005,-0.0036,0.017,0.04,-0.42,0.43,0.0,0.0021,-0.0053,-0.0037,0.674,0.431,,1.179,,,,,
1.285,,-0.0046,-0.003,0.015,0.04,-0.45,0.42,0.0,0.0024,-0.0023,0.0075,0.679,0.438,,1.179,,,,,
1.358,,-0.0054,-0.0034,0.016,0.05,-0.43,0.46,0.0,-0.0039,-0.0042,0.0083,0.679,0.438,,1.172,,,,,
1.391,,-0.0052,-0.0024,0.015,0.04,-0.47,0.45,0.0,-0.0023,0.0015,0.0103,0.679,0.431,,1.172,,,,,
1.468,,-0.0044,-0.0026,0.014,0.04,-0.46,0.41,0.0,0.0017,0.0005,0.0075,0.679,0.431,,1.186,,,,,
1.511,,-0.0051,-0.0041,0.013,0.04,-0.39,0.45,0.0,-0.0021,-0.0078,0.003,0.679,0.431,,1.186,,,,,
1.533,,-0.0054,-0.0043,0.013,0.05,-0.39,0.46,0.0,-0.0036,-0.0086,-0.0022,0.679,0.431,,1.175,,,,,
1.583,,-0.0054,-0.0031,0.013,0.05,-0.45,0.46,0.0,-0.0036,-0.0013,-0.0048,0.679,0.438,,1.175,,,,,
1.654,,-0.0049,-0.0027,0.015,0.05,-0.46,0.44,0.0,-0.0013,0.0009,-0.0056,0.679,0.438,2.431,1.191,,,,,
1.689,,-0.0051,-0.0033,0.014,0.05,-0.44,0.45,0.0,-0.003,-0.0031,-0.0011,0.68,0.431,2.431,1.191,,,,,
1.744,,-0.0053,-0.0034,0.014,0.05,-0.44,0.45,0.0,-0.004,-0.0029,-0.0007,0.68,0.431,,1.18,,,,,
1.785,,-0.0051,-0.0042,0.01,0.05,-0.41,0.44,0.0,-0.0032,-0.007,0.0001,0.68,0.433,,1.18,,,,,
1.834,,-0.0045,-0.0027,0.014,0.05,-0.47,0.42,0.0,0.0006,0.0011,-0.0087,0.68,0.433,,1.178,,,,,
1.884,,-0.0054,-0.0036,0.015,0.05,-0.43,0.45,0.0,-0.0041,-0.0038,-0.0044,0.677,0.439,,1.178,,,,,
1.946,,-0.0052,-0.0036,0.013,0.05,-0.43,0.44,0.0,-0.0032,-0.0035,0.001,0.677,0.439,,1.172,,,,,
1.988,,-0.005,-0.0043,0.011,0.04,-0.4,0.44,0.0,-0.0019,-0.0073,-0.0004,0.679,0.431,,1.172,,,,,
2.044,,-0.0054,-0.0028,0.014,0.04,-0.47,0.45,0.0,-0.0037,0.001,-0.0058,0.679,0.431,,,,,,,
